# Southwestern United States
> Cities and urban areas

| Rank | City | State | Population | Metro Population |
| --- | --- | --- | --- | --- |
| 1 | Phoenix | Arizona | 7006144563200000000♠ 1,445,632 [139] | 7006419288700000000♠ 4,192,887 [140] |
| 2 | El Paso | Texas | 7005649133000000000♠ 649,133 [139] | 7005804123000000000♠ 804,123 [140] |
| 3 | Las Vegas | Nevada | 7005583736000000000♠ 583,736 [139] | 7006195126900000000♠ 1,951,269 [140] |
| 4 | Albuquerque | New Mexico | 7005558000000000000♠ 558,000 [139] | 7005887077000000000♠ 887,077 [140] |
| 5 | Tucson | Arizona | 7005520116000000000♠ 520,116 [139] | 7005980263000000000♠ 980,263 [140] |
| 6 | Mesa | Arizona | 7005439041000000000♠ 439,041 [139] | 7006419288700000000♠ 4,192,887 [140] |
| 7 | Henderson | Nevada | 7005257729000000000♠ 257,729 [139] | 7006195126900000000♠ 1,951,269 [140] |
| 8 | Chandler | Arizona | 7005236123000000000♠ 236,123 [139] | 7006419288700000000♠ 4,192,887 [140] |
| 9 | Glendale | Arizona | 7005226721000000000♠ 226,721 [139] | 7006419288700000000♠ 4,192,887 [140] |
| 10 | Scottsdale | Arizona | 7005217385000000000♠ 217,385 [139] | 7006419288700000000♠ 4,192,887 [140] |
