# DST Schedule Snapshot for Selected Countries and Cities (2016–2019)

| Location (Country — City) | DST Observed? | 2016 Start | 2016 End | 2017 Start | 2017 End | 2018–2019 Summary |
| --- | --- | --- | --- | --- | --- | --- |
| United States — New York | Yes | 2016-03-13 | 2016-11-06 | 2017-03-12 | 2017-11-05 | Continues annually (Mar–Nov pattern) |
| Mexico — Mexico City | Yes (2016–2019) | 2016-04-03 | 2016-10-30 | 2017-04-02 | 2017-10-29 | Typically first Sun Apr to last Sun Oct |
| United Kingdom — London | Yes | 2016-03-27 | 2016-10-30 | 2017-03-26 | 2017-10-29 | Last Sun Mar to last Sun Oct |
| Germany — Berlin | Yes | 2016-03-27 | 2016-10-30 | 2017-03-26 | 2017-10-29 | Same EU rule as UK (different local time names) |
| Australia — Sydney | Yes | 2016-10-02 | 2016-04-03 | 2017-10-01 | 2017-04-02 | Southern Hemisphere: Oct–Apr each season |
| New Zealand — Wellington | Yes | 2016-09-25 | 2016-04-03 | 2017-09-24 | 2017-04-02 | Sep–Apr seasonal change |
| Japan — Tokyo | No | — | — | — | — | DST not observed (2010–2019) |
| Thailand — Bangkok | No | — | — | — | — | DST not observed |
| Russia — Moscow | No | — | — | — | — | No DST during 2016–2019 |
| Nicaragua — Managua | No | — | — | — | — | DST not observed (2010–2019) |
