# Indian States and Capitals with Chief Ministers and Ruling Parties (Quick Reference)

| State | Capital | Chief Minister | Ruling Party |
|---|---|---|---|
| Andhra Pradesh | Amaravati | N. Chandrababu Naidu | TDP |
| Arunachal Pradesh | Itanagar | Pema Khandu | BJP |
| Assam | Dispur | Himanta Biswa Sarma | BJP |
| Bihar | Patna | Nitish Kumar | JD(U) |
| Chhattisgarh | Raipur | Vishnu Deo Sai | BJP |
| Goa | Panaji | Pramod Sawant | BJP |
| Gujarat | Gandhinagar | Bhupendra Patel | BJP |
| Karnataka | Bengaluru | Siddaramaiah | INC |
| Kerala | Thiruvananthapuram | Pinarayi Vijayan | CPI(M) |
| Maharashtra | Mumbai | Eknath Shinde | Shiv Sena |
| Odisha | Bhubaneswar | Mohan Charan Majhi | BJP |
| Rajasthan | Jaipur | Bhajan Lal Sharma | BJP |
