# Top Banks by Market Capitalization (Worldwide) — Sorted, But Ranking Numbers Omitted

| Bank | Ticker | Headquarters | Market Cap (USD bn) | Currency |
| --- | --- | --- | ---: | --- |
| JPMorgan Chase & Co. | JPM | United States | 520 | USD |
| ICBC | 1398.HK | China | 240 | USD |
| Bank of America | BAC | United States | 260 | USD |
| Wells Fargo | WFC | United States | 210 | USD |
| HSBC Holdings | HSBA.L | United Kingdom | 170 | USD |
| Morgan Stanley | MS | United States | 150 | USD |
| China Construction Bank | 939.HK | China | 200 | USD |
| UBS Group | UBSG.SW | Switzerland | 110 | USD |
| BNP Paribas | BNP.PA | France | 80 | USD |
| Santander | SAN.MC | Spain | 70 | USD |
