# Oxo, Peroxo, and Related Inorganic Ligand Anions  Formula and Charge

| Ligand family | Ligand (anion) | Formula | Charge | Notes (coordination context) |
| --- | --- | --- | --- | --- |
| Oxide/hydroxide | oxide | O2− | −2 | Often μ-oxo when bridging |
| Oxide/hydroxide | hydroxide | OH− | −1 | Can be terminal or bridging (μ-OH) |
| Oxide/hydroxide | peroxide | O2^2− | −2 | η2-peroxo common in metal–O2 chemistry |
| Oxide/hydroxide | superoxide | O2− | −1 | Frequently binds end-on or side-on |
| Oxide/hydroxide | hydroperoxide | OOH− | −1 | Also written HO2− |
| Oxide/hydroxide | oxo (formal) | O^2− | −2 | Same composition as oxide; used as “oxo” in naming |
| Nitrogen oxyanions | nitrite | NO2− | −1 | Ambidentate (N- or O-bound) |
| Nitrogen oxyanions | nitrate | NO3− | −1 | Usually O-bound |
| Carbonate family | carbonate | CO3^2− | −2 | Often chelating/bridging |
| Carbonate family | bicarbonate | HCO3− | −1 | Can coordinate via O atoms |
| Sulfur oxyanions | sulfite | SO3^2− | −2 | Multiple binding modes |
| Sulfur oxyanions | sulfate | SO4^2− | −2 | Often weakly coordinating |
| Boron hydride | borohydride | BH4− | −1 | Can bind η2/η3 in some complexes |
