# Perennial Garden Plant List (Native Ornamental) Without Pest-Repelling Claims

| Botanical Name | Common Name | Height | Light | Soil Moisture | Bloom Season |
| --- | --- | --- | --- | --- | --- |
| Aquilegia canadensis | Columbine | 30–60 cm | Part shade | Medium | Spring |
| Asclepias tuberosa | Butterfly weed | 45–90 cm | Full sun | Dry–medium | Summer |
| Aster divaricatus | White wood aster | 60–90 cm | Part shade | Medium | Fall |
| Echinacea purpurea | Purple coneflower | 60–120 cm | Full sun | Medium | Summer |
| Monarda fistulosa | Wild bergamot | 60–120 cm | Full sun | Medium | Summer |
| Rudbeckia hirta | Black-eyed Susan | 30–90 cm | Full sun | Medium | Summer |
| Solidago canadensis | Canada goldenrod | 90–150 cm | Full sun | Medium | Fall |
| Panicum virgatum | Switchgrass | 90–180 cm | Full sun | Dry–medium | Late summer |
| Baptisia australis | Blue false indigo | 90–120 cm | Full sun | Medium | Late spring |
