# List of companies listed on the Singapore Exchange
> SGX mainboard listing

| Full name | Incorporated | ISIN Code | Listed |
| --- | --- | --- | --- |
| Eagle Brand Holdings Limited | Bermuda | BMG2893C1029 | 8 February 1999 |
| Eastern Holdings Ltd | Singapore | SG1V44937026 | 19 December 2007 |
| Eastgate Technology Limited | Singapore | SG1H16874528 | 13 October 1999 |
| Easun Reyrolle Limited | Others | US27785G1085 | 21 December 2007 |
| EBB-AFG Global Masters Fund | Australia |  | 2 July 2007 |
| ecoWise Holdings Limited | Singapore | SG1N88910129 | 9 May 2008 |
| ECS Holdings Limited | Singapore | SG1J51890098 | 9 February 2001 |
| EDMI Limited | Singapore | SG1O57913970 | 15 Mar 2007 |
| Elec & Eltek International Company Limited | Singapore | SG1B09007736 | 5 September 1994 |
| Elite KSB Holdings Limited | Singapore | SG1P05916231 | 21 July 2009 |
| Ellipsiz Ltd | Singapore | SG1I76883822 | 6 July 2000 |
| Eng Kong Holdings Limited | Singapore | SG1E24850711 | 4 November 1999 |
| Engro Corporation Limited | Singapore | SG1H26001476 | 4 August 1983 |
| Enviro-Hub Holdings Ltd | Singapore | SG1G27865383 | 5 October 1998 |
| Etika International Holdings Limited | Singapore | SG1Q54922550 | 18 June 2009 |
| Eu Yan Sang International Ltd | Singapore | SG1I87884967 | 28 July 2000 |
| Eucon Holding Limited | Singapore | SG1Q02920318 | 8 September 2004 |
| Europtronic Group Ltd | Singapore | SG1M24902538 | 5 April 2002 |
| Excelpoint Technology Ltd | Singapore | SG1O91915304 | 7 January 2004 |
| Ezra Holdings | Singapore | SG1O34912152 | 8 December 2005 |
