# Law & Order  Special Victims Unit — Episode Cast (Actor → Credited Character) — Selected Episodes (Sample Index)

| Episode (Season/Ep) | Actor | Credited character (as credited) | Billing type |
| --- | --- | --- | --- |
| Chat Room (S1E18) | Mariska Hargitay | Det. Olivia Benson | Main |
| Chat Room (S1E18) | Christopher Meloni | Det. Elliot Stabler | Main |
| Chat Room (S1E18) | Richard Belzer | Det. John Munch | Main |
| Chat Room (S1E18) | Michelle Hurd | Det. Monique Jeffries | Main |
| Chat Room (S1E18) | Dann Florek | Capt. Donald Cragen | Main |
| Blast (2006) | Diane Neal | Casey Novak (credit only) | Credit only |
| true Believers | Andre Braugher | Bayard Ellis | Guest |
| Agent Provocateur | Raúl Esparza | Rafael Barba | Main |
| Father’s Shadow | Harry Connick Jr. | Executive A.D.A. David Haden | Recurring |
