# School District 64 Gulf Islands
> Schools

| School | Location | Grades |
| --- | --- | --- |
| Fernwood Elementary School | Salt Spring Island | K-5 |
| Fulford Community Elementary School | Salt Spring Island | K-5 |
| Galiano Community School | Galiano Island | K-12 |
| Gulf Islands Secondary School | Salt Spring Island | 9-12 |
| Mayne Elem-Jr Secondary School | Mayne Island | K-8 |
| Pender Islands Elem-Secondary School | Pender Island | K-8 |
| Phoenix Elementary School (Salt Spring) | Salt Spring Island | K-8 |
| Salt Spring Elementary School | Salt Spring Island | K-5 |
| Salt Spring Island Middle School | Salt Spring Island | 6-8 |
| Saturna Island Elementary School | Saturna Island | K-12 |
