# Skin Depth of Conductors at Different Frequencies (Assuming Room Temperature)

| Conductor | Frequency | Skin depth | Units | Assumptions |
| --- | --- | --- | --- | --- |
| Copper | 60 Hz | 8.5 | mm | μ_r≈1 |
| Copper | 1 kHz | 2.1 | mm | μ_r≈1 |
| Copper | 1 MHz | 66 | µm | μ_r≈1 |
| Aluminum | 60 Hz | 11 | mm | μ_r≈1 |
| Aluminum | 1 kHz | 2.7 | mm | μ_r≈1 |
| Aluminum | 1 MHz | 85 | µm | μ_r≈1 |
| Steel (low-carbon) | 60 Hz | 1.0 | mm | μ_r≫1, varies |
| Silver | 1 MHz | 63 | µm | μ_r≈1 |
| Gold | 1 MHz | 77 | µm | μ_r≈1 |
