# Citibank Routing Number by U.S. State (ABA) — State-by-State Lookup

| State | Citibank routing number (ABA) | Notes |
|---|---:|---|
| California | 321171184 | Applies to accounts opened in CA |
| Connecticut | 221172610 |  |
| Delaware | 021272655 |  |
| Florida | 266086554 |  |
| Illinois | 271070801 |  |
| Maryland | 052002166 | Separate wire routing may differ |
| Massachusetts | 221172610 |  |
| New Jersey | 021272655 |  |
| New York | 021000089 | Some legacy accounts may use a different ABA |
| Pennsylvania | 021272655 |  |
| Texas | 113193532 |  |
| Virginia | 254070116 |  |
| Washington, DC | 254070116 | District of Columbia entry included |
