# Regional Population Table  Oceania and South Pacific (All Sizes Included)

| Subregion | Country/Territory | Population | Note |
| --- | --- | ---: | --- |
| Polynesia | Tokelau | 1,500 | dependent territory |
| Polynesia | Niue | 1,600 | self-governing in free association |
| Polynesia | Samoa | 225,000 | sovereign state |
| Polynesia | Tonga | 105,000 | sovereign state |
| Melanesia | Vanuatu | 335,000 | sovereign state |
| Melanesia | Fiji | 930,000 | sovereign state |
| Micronesia | Nauru | 12,700 | sovereign state |
| Micronesia | Kiribati | 133,000 | sovereign state |
| Australia/NZ | Australia | 26,800,000 | sovereign state |
| Australia/NZ | New Zealand | 5,200,000 | sovereign state |
| Territories | Guam | 171,000 | unincorporated territory |
| Territories | French Polynesia | 280,000 | overseas collectivity |
