# Hungarian Chess Championship
> Crosstables

|  | Player | Rating | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 0 | Points | TB | Perf. | +/- |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Anita Gara ( Hungary ) | 2303 | * | ½ | ½ | ½ | 1 | 1 | ½ | 1 | 1 | 1 | 7 |  | 2487 | +21 |
| 2 | Melinda Goczo ( Hungary ) | 2158 | ½ | * | 1 | 0 | ½ | 1 | 0 | 1 | 1 | 1 | 5 | 22.00 | 2324 | +20 |
| 3 | Yelena Dembo ( Hungary ) | 2391 | ½ | 0 | * | 0 | 1 | ½ | 1 | 1 | 1 | 1 | 5 | 20.75 | 2299 | -11 |
| 4 | Monika Grabics ( Hungary ) | 2295 | ½ | 1 | 1 | * | 0 | 0 | ½ | 1 | 1 | ½ | 5 | 20.25 | 2309 | +2 |
| 5 | Julia Horvath ( Hungary ) | 2294 | ½ | ½ | 0 | 1 | * | ½ | 0 | ½ | 1 | 1 | 5 | 20.25 | 2309 | +2 |
| 6 | Lili Toth ( Hungary ) | 2184 | 0 | 0 | ½ | ½ | ½ | * | 1 | ½ | ½ | ½ | 5 | 19.75 | 2321 | +17 |
| 7 | Ticia Gara ( Hungary ) | 2381 | 0 | 0 | ½ | 0 | 1 | 0 | * | 1 | ½ | 1 | 4 |  | 2223 | -19 |
| 8 | Nikoletta Lakos ( Hungary ) | 2339 | ½ | ½ | ½ | 0 | ½ | ½ | 0 | * | ½ | ½ | 3½ |  | 2187 | -19 |
| 9 | Tunde Csonkics ( Hungary ) | 2227 | 0 | ½ | 0 | 0 | 0 | ½ | ½ | ½ | * | 1 | 3 |  | 2158 | -9 |
| 10 | Olga Adam ( Hungary ) | 2156 | 0 | 0 | ½ | 1 | 0 | ½ | 0 | ½ | 0 | * | 2½ |  | 2120 | -5 |
