# List of battles of the Mexican–American War
> 1846

| Battle | Date | Engagement remarks | Result |
| --- | --- | --- | --- |
| Thornton Affair | April 25/26 | Skirmishing in the disputed borderlands of South Texas . | (M) |
| Siege of Fort Texas | May 3–9 | American forces withstand Mexican Army attacks. | (A) |
| Battle of Palo Alto | May 8 | Mexican Army under Mariano Arista in the disputed land between the Rio Grande (Río Bravo) and the Nueces River engage an American army attempting to lift the aforementioned Siege of Fort Texas. | (I) |
| Battle of Resaca de la Palma | May 9 | Arista is defeated by Zachary Taylor . | (A) |
| Occupation of Matamoros | May 18 | U.S. troops occupy Matamoros, Tamaulipas , with no resistance. More than 300 sick and wounded Mexicans captured in the hospitals. Also abandoned were 5 spiked guns. | (A) |
| Battle of Monterey [1] | July 7 | U.S. Navy occupies Monterey, California. | (A) |
| Battle of Yerba Buena | July 9 | U.S. Navy occupies Yerba Buena (present-day San Francisco, California ). | (A) |
| Occupation of Camargo, Tamaulipas . | July 14 | — | (A) |
| Battle of Cañoncito | early August | Stephen Watts Kearny defeats Manuel Armijo on the way to Santa Fe, New Mexico . | (A) |
| Battle of Santa Fe | August 18 | Kearny occupies Santa Fe, New Mexico. | (A) |
| Battle of Monterrey [1] | September 21–23 | Zachary Taylor forces Pedro de Ampudia to surrender Monterrey . | (A) |
| Siege of Los Angeles | September 22–30 | Led by Gen José María Flores , Californios and Mexicans retake Los Angeles. | (M) |
| Battle of Chino | September 26–27 | Californios defeat and capture 24 Americans, led by Benjamin D. Wilson , who were hiding in an adobe house in Rancho Santa Ana del Chino , near present-day Chino, California . | (M) |
| Battle of Dominguez Rancho | October 7 | Californios, led by José Antonio Carrillo , defeat 203 US Marines led by U.S. Navy Captain William Mervine . | (M) |
| First Battle of Tabasco | October 24–26 | Commodore Perry makes a demonstration against Tabasco | (A) |
| Occupation of Tampico , Tamaulipas | November 14 | Occupation by the U.S. Navy. | (A) |
| Occupation of Saltillo , Coahuila | November 16 | Occupation by the U.S. Army . | (A) |
| Battle of Natividad | November 16 | Rancho La Natividad located in the Salinas Valley of California. | (A) |
| Battle of San Pasqual | December 6 | Pyrrhic American victory, [2] Californios departed the battlefield. | (A) |
| Capture of Tucson (1846) | December 16 | The Mormon Battalion captures Tucson , Sonora and occupies her for a day or two. | (A) |
| Battle of El Brazito | December 25 | Also called the "Battle of Temascalitos" in Spanish. Mexican forces attack El Brazito, New Mexico. U.S. forces were led by Colonel Alexander William Doniphan . | (A) |
