# Deer Resistance Ratings for Landscape Plants (Latin Names with Rating Scale A–D)

| Latin Name | Common Name | Plant Type | Deer-Resistance Rating |
|---|---|---|---|
| Lavandula angustifolia | English lavender | Perennial | A |
| Salvia nemorosa | Woodland sage | Perennial | A |
| Nepeta x faassenii | Catmint | Perennial | A |
| Achillea millefolium | Yarrow | Perennial | A |
| Buxus sempervirens | Common boxwood | Shrub | B |
| Juniperus horizontalis | Creeping juniper | Shrub/Groundcover | B |
| Echinacea purpurea | Purple coneflower | Perennial | B |
| Hemerocallis fulva | Daylily | Perennial | C |
| Hosta sieboldiana | Blue hosta | Perennial | D |
