# Demographics of South Korea
> Vital statistics

|  | Average population | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) | Total fertility rate (TFR) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1950 | 19,211,386 | 687,768 | 315,067 | 372,701 | 35.80 | 16.40 | 19.40 | 5.05 |
| 1951 | 19,304,737 | 728,175 | 634,824 | 93,351 | 37.72 | 32.88 | 4.84 | 5.31 |
| 1952 | 19,566,860 | 775,630 | 513,507 | 262,123 | 39.64 | 25.24 | 14.40 | 5.56 |
| 1953 | 19,979,069 | 830,330 | 418,121 | 412,209 | 41.56 | 20.93 | 20.63 | 5.82 |
| 1954 | 20,520,601 | 892,236 | 350,704 | 541,532 | 43.48 | 17.09 | 26.39 | 6.07 |
| 1955 | 21,168,611 | 961,055 | 325,997 | 635,058 | 45.40 | 15.40 | 30.00 | 6.33 |
| 1956 | 21,897,911 | 999,005 | 332,629 | 666,376 | 45.21 | 15.19 | 30.02 | 6.30 |
| 1957 | 22,681,233 | 1,016,573 | 339,765 | 676,808 | 44.82 | 14.98 | 29.84 | 6.26 |
| 1958 | 23,490,027 | 1,046,011 | 346,713 | 699,298 | 44.53 | 14.76 | 29.77 | 6.23 |
| 1959 | 24,295,786 | 1,074,876 | 353,504 | 721,372 | 44.24 | 14.55 | 29.69 | 6.19 |
| 1960 | 25,012,374 | 1,099,294 | 358,677 | 740,617 | 43.95 | 14.34 | 29.61 | 6.16 |
| 1961 | 25,765,673 | 1,099,164 | 356,082 | 743,082 | 42.66 | 13.82 | 28.84 | 5.99 |
| 1962 | 26,513,030 | 1,089,951 | 351,563 | 738,388 | 41.11 | 13.26 | 27.85 | 5.79 |
| 1963 | 27,261,747 | 1,075,203 | 345,406 | 729,797 | 39.44 | 12.67 | 26.77 | 5.57 |
| 1964 | 27,984,155 | 1,057,241 | 337,210 | 720,031 | 37.78 | 12.05 | 25.73 | 5.36 |
| 1965 | 28,704,674 | 1,040,544 | 328,381 | 712,163 | 36.25 | 11.44 | 24.81 | 5.16 |
| 1966 | 29,435,571 | 1,028,479 | 318,787 | 709,692 | 34.94 | 10.83 | 24.11 | 4.99 |
| 1967 | 30,130,983 | 1,020,235 | 308,541 | 711,694 | 33.86 | 10.24 | 23.62 | 4.84 |
| 1968 | 30,838,302 | 1,016,739 | 298,823 | 717,916 | 32.97 | 9.69 | 23.28 | 4.72 |
| 1969 | 31,544,266 | 1,017,618 | 289,261 | 728,357 | 32.26 | 9.17 | 23.09 | 4.62 |
| 1970 | 32,240,827 | 1,006,645 | 258,589 | 748,056 | 31.2 | 8.0 | 23.2 | 4.53 |
| 1971 | 32,882,704 | 1,024,773 | 237,528 | 787,245 | 31.2 | 7.2 | 23.9 | 4.54 |
| 1972 | 33,505,406 | 952,780 | 210,071 | 742,709 | 28.4 | 6.3 | 22.2 | 4.12 |
| 1973 | 34,103,149 | 965,521 | 267,460 | 698,061 | 28.3 | 7.8 | 20.5 | 4.07 |
| 1974 | 34,692,266 | 922,823 | 248,807 | 674,016 | 26.6 | 7.2 | 19.4 | 3.77 |
| 1975 | 35,280,725 | 874,030 | 270,657 | 603,373 | 24.8 | 7.7 | 17.1 | 3.43 |
| 1976 | 35,848,523 | 796,331 | 266,857 | 529,474 | 22.2 | 7.4 | 14.8 | 3.00 |
| 1977 | 36,411,795 | 825,339 | 249,254 | 576,085 | 22.7 | 6.8 | 15.8 | 2.99 |
| 1978 | 36,969,185 | 750,728 | 252,298 | 498,430 | 20.3 | 6.8 | 13.5 | 2.64 |
| 1979 | 37,534,236 | 862,669 | 239,986 | 622,683 | 23.0 | 6.4 | 16.6 | 2.90 |
| 1980 | 38,123,775 | 862,835 | 277,284 | 585,551 | 22.6 | 7.3 | 15.4 | 2.82 |
| 1981 | 38,723,248 | 867,409 | 237,481 | 629,928 | 22.4 | 6.1 | 16.3 | 2.57 |
| 1982 | 39,326,352 | 848,312 | 245,767 | 602,545 | 21.6 | 6.2 | 15.3 | 2.39 |
| 1983 | 39,910,403 | 769,155 | 254,563 | 514,592 | 19.3 | 6.4 | 12.9 | 2.06 |
| 1984 | 40,405,956 | 674,793 | 236,445 | 438,348 | 16.7 | 5.9 | 10.8 | 1.74 |
| 1985 | 40,805,744 | 655,489 | 240,418 | 415,071 | 16.1 | 5.9 | 10.2 | 1.66 |
| 1986 | 41,213,674 | 636,019 | 239,256 | 396,763 | 15.4 | 5.8 | 9.6 | 1.58 |
| 1987 | 41,621,690 | 623,831 | 243,504 | 380,327 | 15.0 | 5.9 | 9.1 | 1.53 |
| 1988 | 42,031,247 | 633,092 | 235,779 | 397,313 | 15.1 | 5.6 | 9.5 | 1.55 |
| 1989 | 42,449,038 | 639,431 | 236,818 | 402,613 | 15.1 | 5.6 | 9.5 | 1.56 |
| 1990 | 42,869,283 | 649,738 | 241,616 | 408,122 | 15.2 | 5.6 | 9.5 | 1.57 |
| 1991 | 43,295,704 | 709,275 | 242,270 | 467,005 | 16.4 | 5.6 | 10.8 | 1.71 |
| 1992 | 43,747,962 | 730,678 | 236,162 | 494,516 | 16.7 | 5.4 | 11.3 | 1.76 |
| 1993 | 44,194,628 | 715,826 | 234,257 | 481,569 | 16.0 | 5.2 | 10.8 | 1.65 |
| 1994 | 44,641,540 | 721,185 | 242,439 | 478,746 | 16.0 | 5.4 | 10.6 | 1.66 |
| 1995 | 45,092,991 | 715,020 | 242,838 | 472,182 | 15.7 | 5.3 | 10.3 | 1.63 |
| 1996 | 45,524,681 | 691,226 | 241,149 | 450,077 | 15.0 | 5.2 | 9.8 | 1.57 |
| 1997 | 45,953,580 | 668,344 | 241,943 | 426,401 | 14.4 | 5.2 | 9.2 | 1.52 |
| 1998 | 46,286,503 | 634,790 | 243,193 | 391,597 | 13.6 | 5.2 | 8.4 | 1.45 |
| 1999 | 46,616,677 | 614,233 | 245,364 | 368,869 | 13.0 | 5.2 | 7.8 | 1.41 |
| 2000 | 47,008,111 | 634,501 | 246,163 | 388,838 | 13.3 | 5.2 | 8.2 | 1.47 |
| 2001 | 47,357,362 | 554,895 | 241,521 | 313,374 | 11.6 | 5.0 | 6.5 | 1.30 |
| 2002 | 47,622,179 | 492,111 | 245,317 | 246,794 | 10.2 | 5.1 | 5.1 | 1.17 |
