# Ancient Egyptian Deities (Expanded Reference with Cult Centers and Spheres)

| Deity | Type | Sphere ("god/goddess of") | Typical cult center(s) | Brief description |
| --- | --- | --- | --- | --- |
| Ra | God | the sun, creation, royal power | Heliopolis | Solar creator; often merged in forms like Ra-Horakhty |
| Thoth | God | writing, knowledge, the moon, measurement | Hermopolis | Scribe of the gods; associated with wisdom and record-keeping |
| Sekhmet | Goddess | war, plague, fire, vengeance, healing (as appeased) | Memphis | Lioness goddess; both destructive and protective aspects |
| Set (Seth) | God | chaos, storms, deserts, outsiders | Ombos (Naqada) | Rival of Osiris; complex figure tied to disorder and strength |
| Sobek | God | crocodiles, the Nile, military might, fertility | Faiyum (Crocodilopolis), Kom Ombo | Crocodile god; linked to river power and protection |
| Khnum | God | the Nile’s inundation, pottery, creation of bodies | Elephantine | Ram-headed; fashions humans on a potter’s wheel |
| Tefnut | Goddess | moisture, rain, balance/order | Heliopolis | Part of the Heliopolitan Ennead; paired with Shu |
| Shu | God | air, sunlight, separation of sky and earth | Heliopolis | Holds Nut apart from Geb; principle of atmosphere |
| Wadjet | Goddess | protection of Lower Egypt, royal cobra (uraeus) | Buto | Cobra goddess; appears on crowns as protective emblem |
| Nekhbet | Goddess | protection of Upper Egypt, vulture guardian | Nekheb (Elkab) | Vulture goddess; paired with Wadjet as "Two Ladies" |
| Aten | Deity (solar disk) | the sun’s visible disk/light | Akhetaten (Amarna) | Prominent in Amarna period; solar disk imagery |
| Hapi | God | the Nile inundation, fertility, abundance | Nile cult sites (regional) | Personification of the flood bringing nourishment |
