# Canada Post Shipping Prices  Flat Rate Box + Lettermail Stamp Rates (Domestic)

| Canada Post Category | Item | Price | Where/Condition | Notes |
| --- | --- | ---:| --- | --- |
| Flat Rate | Flat Rate Box (Small) | $19.99 | In-store | Domestic shipping included |
| Flat Rate | Flat Rate Box (Medium) | $24.99 | In-store | Domestic shipping included |
| Flat Rate | Flat Rate Box (Large) | $29.99 | In-store | Domestic shipping included |
| Flat Rate | Flat Rate Box (Extra Large) | $34.99 | In-store | Domestic shipping included |
| Lettermail | Permanent stamp (standard letter) | $0.92 | Single | Domestic letter |
| Lettermail | Booklet stamp (standard letter) | $0.85 | Booklet | Domestic letter |
| Lettermail | Oversize mail (up to 100 g) | $1.94 | Single | Domestic oversize |
| Parcels (non-flat) | Expedited Parcel (starting) | $12.50 | Online | Weight/zone dependent |
| Services | Signature | $2.50 | Add-on | Optional service |
