# U.S. State Seat Belt Coverage Rules (Selected States) — Who Must Wear & Which Seats

| State | Drivers Covered | Front-Seat Passengers Covered | Rear-Seat Passengers Covered | Minimum Age Threshold (if stated) | Notes on Coverage Exceptions/Details |
|---|---|---|---|---|---|
| New York | Yes | Yes | Yes | 16+ (under-16 covered separately) | Rear-seat coverage applies; under-16 typically covered with broader requirements |
| Texas | Yes | Yes | Yes | All ages | Applies to all occupants; common exemptions may include certain vehicles/medical waivers |
| Florida | Yes | Yes | No (generally adult rear-seat exempt) | 6+ for rear-seat coverage | Rear-seat rule commonly tied to minors; adults often not required in rear seats |
| Pennsylvania | Yes | Yes | No (adult rear-seat generally not covered) | 8+ | Rear-seat coverage focuses on younger occupants; adult rear-seat requirements limited |
| New Jersey | Yes | Yes | Yes | All ages | Broad all-seating-position coverage compared with many states |
| Ohio | Yes | Yes | No (adult rear-seat generally not covered) | 8+ | Rear-seat belt use often required for children/teens rather than all adults |
| Illinois | Yes | Yes | Yes | 8+ (child rules below) | Rear-seat included; child restraint laws may impose stricter requirements for younger children |
| Colorado | Yes | Yes | Yes | 8+ (child rules below) | Rear-seat included; younger children frequently subject to separate child-restraint requirements |
| Arizona | Yes | Yes | No (adult rear-seat generally not covered) | 8+ | Rear-seat coverage commonly applies mainly to minors |
| Massachusetts | Yes | Yes | Yes | 13+ for rear-seat coverage | Rear-seat requirement often begins at a defined youth age threshold |
| Total (rows shown) | 10 states | 10 states | Mixed | — | Table focuses on “who” and “where in vehicle” coverage rather than fines |
