# WWE Night of Champions
> Dates and venues

| Event | Date | City | Venue | Main Event |
| --- | --- | --- | --- | --- |
| Vengeance (2001) [9] | December 9, 2001 | San Diego , California | San Diego Sports Arena [10] | 1st championship match: Kurt Angle vs. Stone Cold Steve Austin for the WWF Championship 2nd championship match: The Rock vs. Chris Jericho for the World Championship 3rd double championship: Chris Jericho vs. Stone Cold Steve Austin for the WWF Championship & World Championship . Jericho's winning the WWF Championship meant that he became the first-ever Undisputed WWF Championship [11] |
| Vengeance (2002) | July 21, 2002 | Detroit , Michigan | Joe Louis Arena [12] | The Undertaker (c) vs. The Rock vs. Kurt Angle in a Triple Threat match for the Undisputed WWE Championship [13] |
| Vengeance (2003) [14] | July 27, 2003 | Denver , Colorado | Pepsi Center [15] | Brock Lesnar (c) vs. Kurt Angle vs. Big Show in a Triple Threat match for the WWE Championship [16] |
| Vengeance (2004) [17] | July 11, 2004 | Hartford, Connecticut | Hartford Civic Center [18] | Chris Benoit (c) vs. Triple H for the World Heavyweight Championship |
| Vengeance (2005) [19] | June 26, 2005 | Paradise, Nevada | Thomas & Mack Center [20] | John Cena (c) vs. Christian vs. Chris Jericho in a Triple Threat Match for the WWE Championship Batista (c) vs. Triple H in a Hell in a Cell match for the World Heavyweight Championship [21] |
| Vengeance (2006) [22] | June 25, 2006 | Charlotte, North Carolina | Charlotte Bobcats Arena [23] | D-Generation X (Triple H and Shawn Michaels ) vs. The Spirit Squad ( Kenny , Johnny , Mitch , Nicky , and Mikey ) in a 2 on 5 Handicap tag team match |
| Vengeance: Night of Champions [24] | June 24, 2007 | Houston , Texas | Toyota Center [25] | John Cena (c) vs. Mick Foley vs. Bobby Lashley vs. Randy Orton vs. King Booker for the WWE Championship [26] |
| Night of Champions (2008) [27] | June 29, 2008 | Dallas | American Airlines Center [28] | Triple H (c) vs. John Cena for the WWE Championship |
| Night of Champions (2009) | July 26, 2009 [29] | Philadelphia [29] | Wachovia Center [29] | CM Punk (c) vs. Jeff Hardy for the World Heavyweight Championship |
| Night of Champions (2010) | September 19, 2010 [30] | Rosemont, Illinois [30] | Allstate Arena [30] | Sheamus (c) vs. Wade Barrett vs. Chris Jericho vs. Edge vs. Randy Orton vs. John Cena in a Six-Pack Elimination Match for the WWE Championship |
| Night of Champions (2011) | September 18, 2011 | Buffalo, New York | First Niagara Center | Triple H vs. CM Punk in a No Disqualification match |
| Vengeance (2011) | October 23, 2011 | San Antonio | AT&T Center | Alberto Del Rio (c) vs. John Cena in a Last Man Standing match for the WWE Championship |
| Night of Champions (2012) | September 16, 2012 | Boston, Massachusetts | TD Garden | CM Punk (c) vs. John Cena for the WWE Championship |
| Night of Champions (2013) | September 15, 2013 [31] | Detroit, Michigan [31] | Joe Louis Arena | Randy Orton (c) vs. Daniel Bryan for the WWE Championship |
| Night of Champions (2014) | September 21, 2014 | Nashville, Tennessee | Bridgestone Arena | Brock Lesnar (c) vs. John Cena for the WWE World Heavyweight Championship |
| Night of Champions (2015) | September 20, 2015 | Houston, Texas | Toyota Center | Seth Rollins (c) vs. Sting for the WWE World Heavyweight Championship |
