# Ricky Watters — Season-by-Season NFL Franchise Timeline

| Season | Team (Franchise) | League | How acquired / context |
|---|---|---|---|
| 1992 | San Francisco 49ers | NFL | Early career with SF |
| 1993 | San Francisco 49ers | NFL | Stayed with SF |
| 1994 | San Francisco 49ers | NFL | Stayed with SF |
| 1995 | Philadelphia Eagles | NFL | Moved to PHI |
| 1996 | Philadelphia Eagles | NFL | Stayed with PHI |
| 1997 | Philadelphia Eagles | NFL | Stayed with PHI |
| 1998 | Seattle Seahawks | NFL | Joined SEA |
| 1999 | Seattle Seahawks | NFL | Stayed with SEA |
| 2000 | Seattle Seahawks | NFL | Stayed with SEA |
| 2001 | Miami Dolphins | NFL | Final NFL team |
