# Judgment of Paris ( wine )
> The results

| Rank | Grade | Wine | Vintage | Origin |
| --- | --- | --- | --- | --- |
| 1. | 15 | Château Mouton-Rothschild | 1970 | France |
| 1. | 15 | Freemark Abbey Winery | 1969 | USA |
| 3. | 12 | Château Haut-Brion | 1970 | France |
| 3. | 12 | Ridge Vineyards Monte Bello | 1971 | USA |
| 5. | 11 | Château Montrose | 1970 | France |
| 5. | 11 | Heitz Wine Cellars Martha's Vineyard | 1970 | USA |
| 5. | 11 | Clos Du Val Winery | 1972 | USA |
| 8. | 10 | Château Leoville Las Cases | 1971 | France |
| 8. | 10 | Stag's Leap Wine Cellars | 1973 | USA |
| 10. | 8 | Mayacamas Vineyards | 1971 | USA |
