# Spine MRI CPT Codes — Contrast Listed as 'per protocol' (Ambiguous)

| Body Area | CPT Code | Protocol Name | Contrast Statement | Typical Indication |
| --- | --- | --- | --- | --- |
| Cervical spine | 72141 | C-spine routine | Per protocol | Radiculopathy |
| Cervical spine | 72156 | C-spine tumor | Per protocol | Neoplasm |
| Thoracic spine | 72146 | T-spine routine | Per protocol | Pain |
| Thoracic spine | 72157 | T-spine tumor | Per protocol | Metastasis |
| Lumbar spine | 72148 | L-spine routine | Per protocol | Sciatica |
| Lumbar spine | 72158 | L-spine tumor | Per protocol | Neoplasm |
| Sacrum/coccyx | 72195 | Sacrum MRI | Per protocol | Sacroiliitis |
| Sacrum/coccyx | 72197 | Sacrum MRI | Per protocol | Mass |
| Whole spine | 72100 | Spine screening MRI | Per protocol | Scoliosis |
| Spine (post-op) | 72159 | Post-op spine MRI | Per protocol | Hardware eval |
