# Average Teaching Salary in California   TeachingDegree.org

| Occupation | Annual mean wage in California |
| --- | ---: |
| Preschool Teachers, Except Special Education | $39,480 |
| Kindergarten Teachers, Except Special Education | $86,120 |
| Elementary School Teachers, Except Special Education | $95,340 |
| Middle School Teachers, Except Special and Career/Technical Education | $97,210 |
| Secondary School Teachers, Except Special and Career/Technical Education | $98,560 |
| Special Education Teachers, Preschool | $84,390 |
| Special Education Teachers, Kindergarten and Elementary School | $93,770 |
| Special Education Teachers, Middle School | $96,420 |
| Special Education Teachers, Secondary School | $97,880 |
