# 1970 FIFA World Cup qualification
> Qualified teams

| Team | Qualified as | Qualification date | Appearance in finals | Consecutive Streak | Previous best performance |
| --- | --- | --- | --- | --- | --- |
| Mexico | *Host ! Host | 00 8 October 1964 | 07 ! 7th | 021966 ! 6 | 09 ! Group Stage ( 1930 , 1950 , 1954 , 1958 , 1962 , 1966 ) |
| England | *Holders ! Holders | 01 30 July 1966 | 06 ! 6th | 061966 ! 6 | 04 ! Winners ( 1966 ) |
| Belgium | UEFA 6 ! UEFA Group 6 Winners | 02 30 April 1969 | 05 ! 5th | 011954 ! 1 (Last: 1954 ) | 10 ! Group Stage ( 1930 , 1934 , 1938 , 1954 ) |
| Uruguay | CONMEBOL 3 ! CONMEBOL Group 3 Winners | 03 10 August 1969 | 06 ! 6th | 031962 ! 3 | 01 ! Winners ( 1930 , 1950 ) |
| Brazil | CONMEBOL 2 ! CONMEBOL Group 2 Winners | 04 24 August 1969 | 09 ! 9th | 092006 ! 9 | 01 ! Winners ( 1958 , 1962 ) |
| Peru | CONMEBOL 1 ! CONMEBOL Group 1 Winners | 05 31 August 1969 | 02 ! 2nd | 011930 ! 1 (Last: 1930 ) | 13 ! Group Stage ( 1930 ) |
| El Salvador | CONCACAF ! CONCACAF Winners | 06 8 October 1969 | 01 ! 1st | 010000 ! 1 | – |
| Sweden | UEFA 5 ! UEFA Group 5 Winners | 07 15 October 1969 | 05 ! 5th | 011958 ! 1 (Last: 1958 ) | 06 ! Runners-Up ( 1958 ) |
| West Germany | UEFA 7 ! UEFA Group 7 Winners | 08 22 October 1969 | 07 ! 7th | 051966 ! 5 | 04 ! Winners ( 1954 ) |
| Morocco | CAF ! CAF Winners | 09 26 October 1969 | 01 ! 1st | 010000 ! 1 | – |
| Soviet Union | UEFA 4 ! UEFA Group 4 Winners | 10 4 November 1969 | 04 ! 4th | 041966 ! 4 | 08 ! Fourth Place ( 1966 ) |
| Romania | UEFA 1 ! UEFA Group 1 Winners | 11 16 November 1969 | 04 ! 4th | 011938 ! 1 (Last: 1938 ) | 11 ! Group Stage ( 1930 , 1934 , 1938 ) |
| Italy | UEFA 3 ! UEFA Group 3 Winners | 12 22 November 1969 | 07 ! 7th | 031966 ! 3 | 01 ! Winners ( 1934 , 1938 ) |
| Czechoslovakia | UEFA 2 ! UEFA Group 2 Winners | 13 3 December 1969 | 06 ! 6th | 011962 ! 1 (Last: 1962 ) | 06 ! Runners-Up ( 1962 ) |
| Bulgaria | UEFA 8 ! UEFA Group 8 Winners | 14 7 December 1969 | 03 ! 3rd | 031966 ! 3 | 12 ! Group Stage ( 1962 , 1966 ) |
| Israel | AFC ! AFC/OFC Winners | 15 14 December 1969 | 01 ! 1st | 010000 ! 1 | – |
