# EITC Income Limits by Tax Year and Children Count (Missing the Required 'Must Be Less Than' Cutoff Wording)

| Tax year | Qualifying children | Single/HOH income limit (phaseout ends) | Married filing jointly income limit (phaseout ends) | Maximum credit |
| --- | ---: | ---: | ---: | ---: |
| 2014 | 0 | $14,590 | $20,020 | $496 |
| 2014 | 1 | $38,511 | $43,941 | $3,305 |
| 2014 | 2 | $43,756 | $49,186 | $5,460 |
| 2015 | 0 | $14,820 | $20,330 | $503 |
| 2015 | 1 | $39,131 | $44,651 | $3,359 |
| 2015 | 2 | $44,454 | $49,974 | $5,548 |
| 2016 | 0 | $14,880 | $20,430 | $506 |
| 2016 | 1 | $39,296 | $44,846 | $3,373 |
| 2016 | 2 | $44,648 | $50,198 | $5,572 |
| 2016 | 3+ | $47,955 | $53,505 | $6,269 |
