# Oxygen-Containing Functional Groups  General Representation and Naming

| Oxygen-bearing functional group | General formula (group-level) | Text structural pattern | IUPAC suffix (if principal) | Common prefix (as substituent) | Typical oxidation level of carbon (qualitative) | Key classification notes |
| --- | --- | --- | --- | --- | --- | --- |
| Alcohol (hydroxyl) | R–OH | R–O–H | -ol | hydroxy- | low | Oxygen singly bonded; includes primary/secondary/tertiary alcohol classes |
| Phenol | Ar–OH | Ar–O–H | -ol ("phenol" retained) | hydroxy- | low | Hydroxyl directly on aromatic ring (Ar) |
| Ether | R–O–R' | R–O–R' | (no characteristic suffix) | alkoxy- | low | Oxygen between two carbon groups; includes dialkyl and aryl ethers |
| Aldehyde | R–CHO | R–C(=O)–H | -al | formyl- (or oxo- for =O) | medium | Terminal carbonyl; one substituent is H |
| Ketone | R–C(=O)–R' | R–C(=O)–R' | -one | oxo- | medium | Internal carbonyl; two carbon substituents |
| Carboxylic acid | R–COOH | R–C(=O)–OH | -oic acid | carboxy- | high | Carboxyl group; highest priority among common O-groups |
| Ester | R–COOR' | R–C(=O)–O–R' | -oate (alkyl alkanoate) | alkoxycarbonyl- | high | Acid derivative; named as alkyl + acid-derived part |
| Acid anhydride | (RCO)2O | R–C(=O)–O–C(=O)–R' | -oic anhydride | (no common simple prefix) | high | Derived from two carboxylic acids; symmetrical or mixed |
| Acyl halide (oxygen-containing by carbonyl) | R–COX | R–C(=O)–X | -oyl halide | halocarbonyl- | high | Carbonyl derivative; reactive acid derivative |
| Amide (oxygen-containing by carbonyl) | R–CONH2 (etc.) | R–C(=O)–NR2 | -amide | carbamoyl- | high | Carbonyl attached to nitrogen; includes primary/secondary/tertiary amides |
| Acetal / ketal | R–CH(OR')2 / R2C(OR')2 | carbon with two –OR | (no single standard suffix) | alkoxy- | low→medium | Carbon bearing two alkoxy groups; often from aldehyde/ketone + alcohol |
| Peroxide | R–O–O–R' | R–O–O–R' | (no characteristic suffix) | peroxy- | low | Contains O–O bond; distinct class from ethers |
