# Mortgage Closing Costs and Lender Fees (No Product Interest Rates)

| Fee Item | Typical Range (USD) | When Paid | Can It Vary by Lender? | Notes |
| --- | --- | --- | --- | --- |
| Origination Fee | $0–$2,500 | Closing | Yes | Sometimes expressed as points |
| Discount Points | 0–3 points | Closing | Yes | Buys down rate (rate not listed here) |
| Underwriting Fee | $300–$900 | Closing | Yes | Processing/approval charge |
| Appraisal | $400–$800 | Before/at closing | Limited | Property-dependent |
| Credit Report | $30–$80 | During application | Limited | Per borrower |
| Title Search & Insurance | $800–$2,500 | Closing | Yes | Varies by state/property |
| Recording Fees | $50–$500 | Closing | No/Low | Government fees |
| Prepaid Interest | Depends on day of month | Closing | No/Low | Per-diem interest |
| Escrow Funding (Taxes/Insurance) | $500–$5,000 | Closing | No/Low | Depends on local taxes/insurance |
