# Kings ( game )
> Common Kings Card Assignments

| Card drawn | Title | Instruction |
| --- | --- | --- |
| Ace | Waterfall | To perform a waterfall , each player starts drinking their beverage at the same time as the person to their left. No player can stop drinking until the player before them stops. |
| 2 | Give 2 take 4 | You point at two persons and tell them to drink. You can also tell one person to take two drinks. |
| 3 | Take 3 | "Three is me." You take three drinks. [1] |
| 4 | Give 2 Take 2 | You give out two drinks, and take two yourself. |
| 5 | Rule | Set a rule to be followed, e.g. drink with your left hand, tap your head before you drink, don't use first names, etc. |
| 6 | Thumbs | Place your thumb on the table, and try to do this without anyone noticing. As people notice, they will also have to put their thumb on the table too. The last person to place their thumb on the table drinks. |
| 7 | Raise your hand to heaven | Last person to raise their hand will drink. |
| 8 | Mate | Choose a person to be your mate and they drink when you drink for the rest of the game. |
| 9 | Rhyme Time | "Nine is Rhyme". You say a word, and the person to your right has to say a word that rhymes. This continues around the table until someone cannot think of a word. This person must drink. The same word may not be used twice. |
| 10 | Categories | You come up with a category of things, and the person to your right must come up with something that falls within that category. This goes on around the table until someone can't come up with anything. This person must drink. |
| Jack | Jack Off | Find the closest hat and wear it or Colin Drinks. |
| Queen | Gals Drink | All the gals at the table must take a drink |
| King | King's Cup | When each of the first 3 Kings are drawn, the person who drew the card puts some of their drink into the King's Cup at the center of the table. When the 4th King is drawn, the person who drew the 4th King must drink the contents of the King's Cup. |
