# Dietary Reference Intake
> Adherence

| Nutrient | Percent of U.S. population ages 2+ meeting EAR in 2004 [18] |
| --- | --- |
| Protein | 88.9% |
| Vitamin A | 46.0% |
| Vitamin C | 51.0% |
| Vitamin E | 13.6% |
| Thiamin | 81.6% |
| Riboflavin | 89.1% |
| Niacin | 87.2% |
| Vitamin B 6 | 73.9% |
| Folate | 59.7% |
| Vitamin B 12 | 79.7% |
| Phosphorus | 87.2% |
| Magnesium | 43.0% |
| Iron | 89.5% |
| Selenium | 91.5% |
| Zinc | 70.8% |
| Copper | 84.2% |
| Calcium | 30.9% |
| Fiber | 8.0% |
| Potassium | 7.6% |
| % calories from total fat <= 35% | 59.4% |
| % calories from saturated fat < 10% | 40.8% |
| Cholesterol intake < 300 mg | 68.4% |
| Sodium intake <= 2,300 mg | 29.9% |
