# National Football League Rookie of the Year Award
> Sporting News NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1960 | Cogdill, Gail Gail Cogdill | Detroit Lions | Wide receiver |
| 1961 | Ditka, Mike Mike Ditka [23] | Chicago Bears | Tight end |
| 1962 | Bull, Ronnie Ronnie Bull | Chicago Bears | Halfback |
| 1963 | Flatley, Paul Paul Flatley | Minnesota Vikings | Wide receiver |
| 1964 | Taylor, Charley Charley Taylor [24] | Washington Redskins | Wide receiver |
| 1965 | Sayers, Gale Gale Sayers | Chicago Bears | Halfback |
| 1966 | Nobis, Tommy Tommy Nobis | Atlanta Falcons | Linebacker |
| 1967 | Farr, Mel Mel Farr | Detroit Lions | Halfback |
| 1968 | McCullouch, Earl Earl McCullouch [25] | Detroit Lions | Wide receiver |
| 1969 | Hill, Calvin Calvin Hill | Dallas Cowboys | Halfback |
