# Public Holidays in Canada (Selected) — Observance Window View

| Holiday | Typical Timing | Provinces/Territories | Notes |
| --- | --- | --- | --- |
| New Year's Day | Early January | Nationwide | Fixed annually but exact day-of-week varies |
| Family Day | Third Monday in February | Many provinces | Not observed everywhere |
| Good Friday | Friday before Easter | Most provinces | Movable (depends on Easter) |
| Victoria Day | Monday preceding May 25 | Nationwide | Always a Monday holiday |
| Canada Day | July 1 (or following Monday if weekend) | Nationwide | Shifted when it falls on a weekend |
| Labour Day | First Monday in September | Nationwide | Always the first Monday |
| Thanksgiving | Second Monday in October | Most provinces | Monday-based observance |
| Remembrance Day | November 11 (or observed Monday in some places) | Varies | Observance differs by province |
| Christmas Day | December 25 | Nationwide | Fixed date |
| Boxing Day | December 26 | Nationwide/varies | Observed differently by region |
