# Fiber Grams per Serving  Fruits, Whole Grains, and Breakfast Options

| Category | Food item | Serving size (typical portion) | Dietary fiber (g per serving) |
|---|---|---|---|
| Fruits | Avocado | 1/2 medium | 6.7 |
| Fruits | Blackberries | 1 cup | 7.6 |
| Fruits | Orange | 1 medium | 3.1 |
| Fruits | Kiwi | 2 medium | 4.0 |
| Whole grains | Quinoa, cooked | 1 cup | 5.2 |
| Whole grains | Bulgur, cooked | 1 cup | 8.2 |
| Whole grains | Whole-wheat bread | 2 slices | 4.0 |
| Breakfast cereals | Shredded wheat cereal | 1 cup | 6.0 |
| Breakfast cereals | Oatmeal, cooked | 1 cup | 4.0 |
| Snack foods | Popcorn, air-popped | 3 cups | 3.5 |
| Pasta/rice | Brown rice, cooked | 1 cup | 3.5 |
