# Lawrence Technological University
> Academics

| Major/Program | Type of Program |
| --- | --- |
| Architecture | Master |
| Environmental Graphic Design | Master |
| Interior Design | Master |
| Urban Design | Master |
| Architecture, Direct Entry | Combined Bachelor/Master |
| Architectural Studies | Four-year Baccalaureate |
| Architecture | Four-year Baccalaureate |
| Game Art | Four-year Baccalaureate |
| Graphic Design | Four-year Baccalaureate |
| Industrial Design | Four-year Baccalaureate |
| Interaction Design | Four-year Baccalaureate |
| Interior Architecture | Four-year Baccalaureate |
| Transportation Design | Four-year Baccalaureate |
| Urban Design | Graduate Certificate |
| Architectural Management | Graduate Certificate |
| Sustainable Architecture | Graduate Certificate |
| Building Information Modeling and Computer Visualization | Undergraduate Certificate |
