# Top Foods Ranked by Protein Density (Calories Included for Reference)

| Rank | Food | Basis | Protein (g) | Calories (kcal) | Protein per 100 kcal (g) |
|---:|---|---|---:|---:|---:|
| 1 | Egg whites | 100 g | 11.0 | 52 | 21.2 |
| 2 | Tuna (canned in water) | 100 g | 23.6 | 116 | 20.3 |
| 3 | Nonfat Greek yogurt | 170 g | 17.0 | 100 | 17.0 |
| 4 | Chicken breast | 100 g | 31.0 | 165 | 18.8 |
| 5 | Lentils | 1 cup cooked | 18.0 | 230 | 7.8 |
| 6 | Cottage cheese (low-fat) | 1/2 cup | 14.0 | 90 | 15.6 |
| 7 | Tofu (firm) | 100 g | 17.0 | 144 | 11.8 |
| 8 | Edamame | 1 cup | 17.0 | 189 | 9.0 |
| 9 | Almonds | 1 oz | 6.0 | 164 | 3.7 |
| 10 | Peanut butter | 2 tbsp | 8.0 | 190 | 4.2 |
