# 2008 NASCAR Craftsman Truck Series
> Races

| Pos | No. | Driver | Manu. | Team |
| --- | --- | --- | --- | --- |
| 1 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 2 | 88 | Matt Crafton | Chevrolet | ThorSport Racing |
| 3 | 46 | Landon Cassill | Chevrolet | Morgan-Dollar Motorsports |
| 4 | 99 | Erik Darnell | Ford | Roush Fenway Racing |
| 5 | 30 | Todd Bodine | Toyota | Germain Racing |
| 6 | 22 | Michael Annett | Toyota | Bill Davis Racing |
| 7 | 33 | Ron Hornaday | Chevrolet | Kevin Harvick Incorporated |
| 8 | 14 | Rick Crawford | Ford | Circle Bar Racing |
| 9 | 60 | Terry Cook | Toyota | Wyler Racing |
| 10 | 5 | Mike Skinner | Toyota | Bill Davis Racing |
