# Australian Passport Fees and Options (Outside U.S. Expedited Context)

| Passport Type / Service | Fee (AUD) | Validity | Eligibility | Notes |
| --- | ---: | --- | --- | --- |
| Adult Passport (16+) | $325 | 10 years | Citizens 16+ | Standard application |
| Child Passport (Under 16) | $164 | 5 years | Citizens under 16 | Standard application |
| Senior Optional Validity Passport | $164 | 5 years | 75+ | Optional term |
| Frequent Traveller Passport | $487 | 10 years | High-usage applicants | Extra pages |
| Priority Processing | $250 | — | Limited availability | Faster processing |
| Overseas Application Surcharge | $184 | — | Applicants abroad | Additional consular fee |
| Replacement (Lost/Stolen) | $210 | — | Proof required | Replacement charge |
| Delivery (Registered Post) | $15 | — | Optional | Mailing fee |
| Name Change Amendment | $120 | — | Eligible applicants | Administrative fee |
