# Demographics of Cyprus
> Vital statistics

|  | Average population (x 1000) | Live births 1 | Deaths 1 | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) |
| --- | --- | --- | --- | --- | --- | --- |
| 1901 | 238 | 7 300 | 4 300 | 3 000 | 30.6 | 18.1 | 12.5 |
| 1902 | 241 | 6 700 | 3 500 | 3 200 | 28.0 | 14.6 | 13.4 |
| 1903 | 245 | 7 000 | 3 600 | 3 400 | 28.6 | 14.6 | 14.0 |
| 1904 | 249 | 7 600 | 3 700 | 3 900 | 30.4 | 14.8 | 15.6 |
| 1905 | 253 | 7 500 | 4 500 | 3 000 | 29.6 | 17.7 | 11.9 |
| 1906 | 257 | 7 900 | 4 100 | 3 800 | 30.7 | 15.8 | 14.9 |
| 1907 | 260 | 8 200 | 4 600 | 3 600 | 31.4 | 17.7 | 13.7 |
| 1908 | 264 | 8 700 | 5 200 | 3 500 | 32.9 | 19.7 | 13.2 |
| 1909 | 268 | 8 000 | 4 500 | 3 500 | 29.8 | 16.9 | 12.9 |
| 1910 | 271 | 8 700 | 4 100 | 4 600 | 32.1 | 15.2 | 16.9 |
| 1911 | 275 | 8 700 | 4 500 | 4 200 | 31.6 | 16.2 | 15.4 |
| 1912 | 279 | 8 000 | 4 900 | 3 100 | 28.5 | 17.7 | 10.8 |
| 1913 | 283 | 8 700 | 5 300 | 3 400 | 30.7 | 18.8 | 11.9 |
| 1914 | 287 | 9 500 | 5 100 | 4 400 | 33.1 | 17.6 | 15.5 |
| 1915 | 291 | 10 000 | 5 800 | 4 200 | 34.3 | 19.8 | 14.5 |
| 1916 | 294 | 5 900 | 5 300 | 600 | 20.0 | 17.9 | 2.1 |
| 1917 | 297 | 8 800 | 5 400 | 3 400 | 29.5 | 18.2 | 11.3 |
| 1918 | 301 | 9 900 | 6 900 | 3 000 | 32.9 | 22.9 | 10.0 |
| 1919 | 305 | 8 900 | 5 200 | 3 700 | 29.2 | 17.2 | 12.0 |
| 1920 | 309 | 9 100 | 7 400 | 1 700 | 29.5 | 23.9 | 5.6 |
| 1921 | 312 | 8 400 | 6 200 | 2 200 | 26.8 | 20.0 | 6.8 |
| 1922 | 315 | 9 000 | 6 200 | 2 800 | 28.6 | 19.6 | 9.0 |
| 1923 | 318 | 8 100 | 5 700 | 2 400 | 25.5 | 18.0 | 7.5 |
| 1924 | 322 | 8 800 | 5 600 | 3 200 | 27.3 | 17.4 | 9.9 |
| 1925 | 326 | 8 300 | 4 700 | 3 600 | 25.6 | 14.4 | 11.2 |
| 1926 | 330 | 8 500 | 5 600 | 2 900 | 25.9 | 17.1 | 8.8 |
| 1927 | 333 | 8 400 | 5 200 | 3 200 | 25.2 | 15.6 | 9.6 |
| 1928 | 337 | 9 700 | 5 100 | 4 600 | 28.9 | 15.2 | 13.7 |
| 1929 | 341 | 10 400 | 4 600 | 5 800 | 30.4 | 13.5 | 16.9 |
| 1930 | 345 | 11 100 | 5 700 | 5 400 | 32.1 | 16.4 | 15.7 |
| 1931 | 349 | 10 500 | 5 900 | 4 600 | 30.2 | 17.0 | 13.2 |
| 1932 | 352 | 10 100 | 5 740 | 4 360 | 28.7 | 16.3 | 12.4 |
| 1933 | 356 | 9 750 | 4 910 | 4 840 | 27.4 | 13.8 | 13.6 |
| 1934 | 360 | 10 852 | 4 757 | 6 095 | 30.1 | 13.2 | 16.9 |
| 1935 | 363 | 11 735 | 4 976 | 6 759 | 32.3 | 13.7 | 18.6 |
| 1936 | 367 | 12 727 | 4 656 | 8 071 | 34.7 | 12.7 | 22.0 |
| 1937 | 371 | 10 954 | 6 334 | 4 620 | 29.5 | 17.1 | 12.5 |
| 1938 | 376 | 11 804 | 5 445 | 6 359 | 31.4 | 14.5 | 16.9 |
| 1939 | 393 | 12 214 | 5 519 | 6 695 | 31.1 | 14.0 | 17.0 |
| 1940 | 401 | 13 254 | 4 678 | 8 576 | 33.1 | 11.7 | 21.4 |
| 1941 | 409 | 11 402 | 5 058 | 6 344 | 27.9 | 12.4 | 15.5 |
| 1942 | 412 | 9 221 | 6 747 | 2 474 | 22.4 | 16.4 | 6.0 |
| 1943 | 416 | 12 405 | 5 155 | 7 250 | 29.8 | 12.4 | 17.4 |
| 1944 | 425 | 14 330 | 4 263 | 10 067 | 33.7 | 10.0 | 23.7 |
| 1945 | 435 | 13 269 | 4 111 | 9 158 | 30.5 | 9.5 | 21.1 |
| 1946 | 447 | 14 482 | 3 793 | 10 689 | 32.4 | 11.0 | 23.9 |
| 1947 | 458 | 15 158 | 3 875 | 11 283 | 33.1 | 11.0 | 24.6 |
| 1948 | 477 | 15 078 | 5 250 | 9 828 | 31.6 | 11.0 | 20.6 |
