# List of songs in Guitar Hero II (main setlist)

| Year | Track title | Performed by | In-game note |
| --- | --- | --- | --- |
| 1979 | "Carry On Wayward Son" | Kansas | Main setlist |
| 1985 | "Shout at the Devil" | Mötley Crüe | Main setlist |
| 1991 | "Heart-Shaped Box" | Nirvana | Main setlist |
| 1992 | "Killing in the Name" | Rage Against the Machine | Main setlist |
| 2003 | "The Trooper" | Iron Maiden | Main setlist |
| 2004 | "Beast and the Harlot" | Avenged Sevenfold | Main setlist |
| 2004 | "Possum Kingdom" | Toadies | Main setlist |
| 2005 | "Strutter" | Kiss (cover performed for game) | Main setlist |
| 2005 | "John the Fisherman" | Primus (cover performed for game) | Main setlist |
| 2006 | "Psychobilly Freakout" | Reverend Horton Heat | Main setlist |
