# Least-Populated Countries and Dependent Territories (Ascending Population)

| Rank (ascending) | Country / Dependent territory | Status | Population |
| --- | --- | --- | --- |
| 1 | Pitcairn Islands | British Overseas Territory | 47 |
| 2 | Vatican City | Sovereign state | 825 |
| 3 | Tokelau | New Zealand dependent territory | 1,400 |
| 4 | Niue | Self-governing in free association with New Zealand | 1,700 |
| 5 | Falkland Islands | British Overseas Territory | 3,500 |
| 6 | Montserrat | British Overseas Territory | 4,900 |
| 7 | Saint Pierre and Miquelon | French overseas collectivity | 5,900 |
| 8 | Saint Helena, Ascension and Tristan da Cunha | British Overseas Territory | 6,200 |
| 9 | Nauru | Sovereign state | 12,600 |
| 10 | Tuvalu | Sovereign state | 11,200 |
