# IUPAC Priority (Precedence) for Common Oxygen-Containing Functional Groups

| Precedence (1 = highest among listed) | Functional group class (oxygen-bearing) | Group formula | Principal suffix used in IUPAC | Substituent prefix when not principal | Notes / scope |
| --- | --- | --- | --- | --- | --- |
| 1 | Carboxylic acids | –COOH | -oic acid | carboxy- | Includes alkanecarboxylic acids and aromatic acids |
| 2 | Sulfonic acids (oxygen-bearing) | –SO3H | -sulfonic acid | sulfo- | Often outranks carboxylic acids in extended lists; shown here within O-bearing set |
| 3 | Anhydrides (carboxylic) | (RCO)2O | -oic anhydride | (no single standard) | Named from parent acids; mixed anhydrides allowed |
| 4 | Esters | –COOR | -oate | alkoxycarbonyl- | Carboxylic-acid derivatives |
| 5 | Acyl halides (carbonyl) | –COX | -oyl halide | halocarbonyl- | X = F, Cl, Br, I |
| 6 | Amides (carbonyl) | –CONR2 | -amide | carbamoyl- | Includes N-substituted amides |
| 7 | Aldehydes | –CHO | -al | formyl- / oxo- | Terminal carbonyl; oxo- used for carbonyl as prefix in many cases |
| 8 | Ketones | >C=O | -one | oxo- | Internal carbonyl; oxo- used when not principal |
| 9 | Alcohols | –OH | -ol | hydroxy- | Includes polyols; -diol/-triol patterns |
| 10 | Thiols vs alcohols note (contrast) | –OH (O) | -ol | hydroxy- | Included only to anchor O-group precedence relative to other common groups |
| 11 | Ethers | –OR | (no characteristic suffix) | alkoxy- | Commonly named as alkoxyalkanes |
| 12 | Peroxides / hydroperoxides | –OO– / –OOH | (no characteristic suffix) | peroxy- / hydroperoxy- | Treated as substituent prefixes in many naming contexts |
