# External Debt, Net International Investment Position and Current Account (US$)

| Country | External Debt (US$) | Net IIP (US$) | Current Account Balance (US$) | Year |
| --- | --- | --- | --- | --- |
| United States | 26,400,000,000,000 | -18,100,000,000,000 | -943,000,000,000 | 2022 |
| United Kingdom | 10,300,000,000,000 | -890,000,000,000 | -97,000,000,000 | 2022 |
| Germany | 6,200,000,000,000 | 2,700,000,000,000 | 250,000,000,000 | 2022 |
| France | 7,100,000,000,000 | -900,000,000,000 | -50,000,000,000 | 2022 |
| Japan | 4,900,000,000,000 | 3,400,000,000,000 | 120,000,000,000 | 2022 |
| Canada | 3,300,000,000,000 | -900,000,000,000 | -45,000,000,000 | 2022 |
| Australia | 2,100,000,000,000 | -650,000,000,000 | -35,000,000,000 | 2022 |
| Brazil | 680,000,000,000 | -650,000,000,000 | -55,000,000,000 | 2022 |
| India | 620,000,000,000 | -350,000,000,000 | -67,000,000,000 | 2022 |
| South Africa | 170,000,000,000 | -150,000,000,000 | -9,000,000,000 | 2022 |
