# Adult Blood Pressure Categories by Age Group (Systolic Diastolic mm Hg)

| Age group | Category | Systolic (mm Hg) | Diastolic (mm Hg) |
| --- | --- | --- | --- |
| 18–39 | Normal | <120 | <80 |
| 18–39 | Elevated (High-normal) | 120–129 | <80 |
| 18–39 | Stage 1 hypertension | 130–139 | 80–89 |
| 18–39 | Stage 2 hypertension | ≥140 | ≥90 |
| 40–59 | Normal | <120 | <80 |
| 40–59 | Elevated (High-normal) | 120–129 | <80 |
| 40–59 | Stage 1 hypertension | 130–139 | 80–89 |
| 40–59 | Stage 2 hypertension | ≥140 | ≥90 |
| ≥60 | Normal | <130 | <80 |
| ≥60 | Elevated (High-normal) | 130–139 | <80 |
| ≥60 | Stage 1 hypertension | 140–159 | 80–89 |
| ≥60 | Stage 2 hypertension | ≥160 | ≥90 |
