# CONMEBOL World Cup Qualifiers 2022 - Table After Matchday 18

| Position | Team | Matches | Wins | Draws | Losses | Goals For | Goals Against | Goal Difference | Points |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Brazil | 17 | 14 | 3 | 0 | 40 | 5 | +35 | 45 |
| 2 | Argentina | 17 | 11 | 6 | 0 | 27 | 8 | +19 | 39 |
| 3 | Uruguay | 18 | 8 | 4 | 6 | 22 | 22 | 0 | 28 |
| 4 | Ecuador | 18 | 7 | 5 | 6 | 27 | 19 | +8 | 26 |
| 5 | Peru | 18 | 7 | 3 | 8 | 19 | 21 | -2 | 24 |
| 6 | Colombia | 18 | 5 | 8 | 5 | 20 | 19 | +1 | 23 |
| 7 | Chile | 18 | 5 | 4 | 9 | 19 | 26 | -7 | 19 |
| 8 | Paraguay | 18 | 3 | 7 | 8 | 12 | 26 | -14 | 16 |
| 9 | Bolivia | 18 | 4 | 3 | 11 | 23 | 42 | -19 | 15 |
| 10 | Venezuela | 18 | 3 | 1 | 14 | 14 | 34 | -20 | 10 |
