# German prepositions grouped by governed case (common examples)

| Preposition | Governs case | Typical meaning | Example phrase |
|---|---|---|---|
| für | accusative | for | für meinen Freund |
| ohne | accusative | without | ohne dich |
| gegen | accusative | against | gegen den Wind |
| mit | dative | with | mit dem Auto |
| nach | dative | after/to | nach der Arbeit |
| bei | dative | at/with | bei meiner Mutter |
| wegen | genitive | because of | wegen des Wetters |
| statt/anstatt | genitive | instead of | statt eines Autos |
| innerhalb | genitive | within | innerhalb der Stadt |
