# EuroMillions — Prize tiers (match rules), fixed payout, and odds per line

| Prize tier | Match requirement | Prize (EUR) | Odds per line |
|---|---|---:|---|
| 1st (Jackpot) | 5 main + 2 Lucky Stars | Variable (jackpot) | 1 in 139,838,160 |
| 2nd | 5 main + 1 Lucky Star | 300,000 | 1 in 6,991,908 |
| 3rd | 5 main | 30,000 | 1 in 3,107,515 |
| 4th | 4 main + 2 Lucky Stars | 1,500 | 1 in 621,503 |
| 5th | 4 main + 1 Lucky Star | 120 | 1 in 31,075 |
| 6th | 3 main + 2 Lucky Stars | 60 | 1 in 14,126 |
| 7th | 4 main | 45 | 1 in 13,811 |
| 8th | 2 main + 2 Lucky Stars | 20 | 1 in 985 |
| 9th | 3 main + 1 Lucky Star | 14 | 1 in 706 |
| 10th | 3 main | 12 | 1 in 314 |
| 11th | 1 main + 2 Lucky Stars | 10 | 1 in 188 |
| 12th | 2 main + 1 Lucky Star | 8 | 1 in 49 |
| 13th | 2 main | 4 | 1 in 22 |
