# NHL Presidents' Trophy Winners — Playoff Outcome by Season (2012–2024)

| NHL Season | Presidents' Trophy Winner (Best Regular-Season Record) | Playoff Outcome (Farthest Round) | Won Stanley Cup? | Notes |
|---|---|---|---|---|
| 2011–12 | Vancouver Canucks | First Round | No | Eliminated in opening round |
| 2012–13 | Chicago Blackhawks | Won the Cup | Yes | Presidents' Trophy + Stanley Cup double |
| 2013–14 | Boston Bruins | Second Round | No | Eliminated in round 2 |
| 2014–15 | New York Rangers | Conference Final | No | Reached conference final |
| 2015–16 | Washington Capitals | Second Round | No | Eliminated in round 2 |
| 2016–17 | Washington Capitals | Second Round | No | Eliminated in round 2 |
| 2017–18 | Nashville Predators | Second Round | No | Eliminated in round 2 |
| 2018–19 | Tampa Bay Lightning | First Round | No | Eliminated in opening round |
| 2019–20 | Boston Bruins | Second Round | No | Lost in second round (bubble playoffs) |
| 2020–21 | Colorado Avalanche | Second Round | No | Eliminated in round 2 |
| 2021–22 | Florida Panthers | Second Round | No | Eliminated in round 2 |
| 2022–23 | Boston Bruins | First Round | No | Eliminated in opening round |
| 2023–24 | New York Rangers | Conference Final | No | Reached conference final |
