# Electrical Conductivity and Resistivity of Insulators and Semiconductors (Room Temperature, Approx. 300 K)

| Material | Class | Electrical resistivity (Ω·m) | Electrical conductivity (S/m) | Stated condition | Remarks |
| --- | --- | ---: | ---: | --- | --- |
| PTFE (Teflon) | Polymer insulator | 1e16 | 1e-16 | ~300 K, dry | Extremely good electrical insulator |
| Polyethylene (PE) | Polymer insulator | 1e15 | 1e-15 | ~300 K, dry | Resistivity depends on additives |
| Glass (soda-lime) | Inorganic insulator | 1e10 | 1e-10 | ~300 K, dry | Strongly humidity-dependent surface leakage |
| Fused silica (quartz) | Inorganic insulator | 1e16 | 1e-16 | ~300 K | High-purity form is very resistive |
| Alumina (Al2O3) | Ceramic insulator | 1e12 | 1e-12 | ~300 K | Used as electrical substrate/insulator |
| Silicon (intrinsic) | Semiconductor | 2.3e3 | 4.3e-4 | 300 K, intrinsic | Conductivity rises strongly with temperature |
| Germanium (intrinsic) | Semiconductor | 0.47 | 2.1 | 300 K, intrinsic | Much higher intrinsic conductivity than Si |
| Water (ultrapure) | Molecular liquid (insulating) | 1.8e5 | 5.5e-6 | 25 °C, ultrapure | Ionic contamination dominates conductivity |
| Graphite (in-plane) | Semimetal / anisotropic conductor | 3e-5 | 3.3e4 | ~300 K, in-plane | Strong anisotropy vs. through-plane |
