# Head and neck anatomy
> Musculoskeletal system

| Group | Name | Nerve | Function |
| --- | --- | --- | --- |
| facial expression | Epicranius: Frontalis and Occipitalis | facial nerve | eyebrows and scalp |
| facial expression | Orbicularis oris | facial nerve | closes lips |
| facial expression | Zygomaticus major | facial nerve | smiling |
| facial expression | Zygomaticus minor | facial nerve | smiling |
| facial expression | Levator labii superioris | facial nerve | upper lip |
| facial expression | Levator labii superioris alaeque nasi | facial nerve | upper lip |
| facial expression | Depressor labii inferioris | facial nerve | lower lip |
| facial expression | Depressor anguli oris | facial nerve | frowning |
| facial expression | Platysma | facial nerve | frowning (during fear or shock) |
| facial expression | Buccinator | facial nerve | cheeks |
| facial expression | Mentalis | facial nerve | chin |
| facial expression | Platysma | facial nerve | frowning |
| facial expression | Risorius | facial nerve | mouth angle |
| facial expression | Orbicularis oculi | facial nerve | closes eye |
| facial expression | Nasalis | facial nerve | flare nostrils |
| facial expression | Corrugator supercilli | facial nerve | eyebrow |
| facial expression | Levator palpebrae superioris | oculomotor nerve | upper eyelid |
| chewing – lower mandible | Masseter | Trigeminal nerve | closing and protruding mandible, |
| chewing – lower mandible | Temporalis | Trigeminal nerve | elevates and controls side to side movement of mandible |
| chewing – lower mandible | Medial pterygoid | Trigeminal nerve | elevates mandible, |
| chewing – lower mandible | Lateral pterygoid | Trigeminal nerve | protracts mandible, opens mouth. |
| tongue – extrinsic | Genioglossus | hypoglossal nerve | protraction, |
| tongue – extrinsic | Styloglossus | hypoglossal nerve | elevation and retraction, |
| tongue – extrinsic | Hyoglossus | hypoglossal nerve | depresses tongue |
| tongue – extrinsic | Palatoglossus | Pharyngeal plexus , pharyngeal branch of vagus nerve | elevates tongue while swallowing |
| oral cavity floor | Digastric | Trigeminal nerve and Facial nerve | hyoid and mandible movement |
| oral cavity floor | Stylohyoid | Facial nerve | elevates hyoid |
| oral cavity floor | Mylohyoid | Trigeminal nerve | hyoid and mandible movement |
| oral cavity floor | Geniohyoid | Cervical nerve C-1 | hyoid, tongue, and mandible movement |
| move head | Sternocleidomastoid | Accessory nerve | nodding and turning |
| move head | Semispinalis | dorsal rami of cervical nerves | extends head, supports turning |
| move head | Splenius capitis | dorsal rami of middle and lower cervical nerves | extend head, supports turning |
| move head | Longissimus capitis | dorsal rami of middle and lower cervical nerves | extends head, supports turning |
| move head | Rectus capitis posterior major | Suboccipital nerve C-1 | extends head |
| move head | Rectus capitis posterior minor | Suboccipital nerve C-1 | extends head |
