# Olympus OM system
> Lenses

| Lens | Angle of view | Elements – Groups | Diaphragm | Aperture range | Closest focus | Smallest field | Focusing | Weight | Length | Diameter | Hood | Filter |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 8 mm F2.8 Fisheye | 180° (circle) | 11–7 | Auto | 2.8–22 | 0.2 m | - | Straight helicoid | 640 g | 82 mm | 102 mm | Not necessary | Built-in (L39,Y48, O56,R60) |
| 16 mm F3.5 Fisheye | 180° | 11–8 | Auto | 3.5–22 | 0.2 m | - | Straight helicoid | 180 g | 31 mm | 59 mm | Not necessary | Built-in (L39,Y48, O56) |
| 18 mm F3.5 | 100° | 11–9 | Auto | 3.5–16 | 0.25 m | 30×20 cm | Straight helicoid | 250 g | 42 mm | 62 mm | 49 mm Adapter Ring 49→72 | 72 mm Screw-in (w.Adapter Ring 49→72) |
| 21 mm F2 | 92° | 11–9 | Auto | 2–16 | 0.2 m | 21×14 cm | Straight helicoid | 250 g | 43.5 mm | 60 mm | 55 mm Screw-in [57 mm Slide-on] | 55 mm Screw-in |
| 21 mm F3.5 | 92° | 7–7 | Auto | 3.5–16 | 0.2 m | 21×14 cm | Straight helicoid | 180 g | 31 mm | 59 mm | 49 mm Screw-in | 49 mm Screw-in |
| 24 mm F2 | 84° | 10–8 | Auto | 2–16 | 0.25 m | 23×15 cm | Straight helicoid | 280 g | 48 mm | 60 mm | 55 mm Screw-in | 55 mm Screw-in |
| 24 mm F2.8 | 84° | 8–7 | Auto | 2.8–16 | 0.25 m | 23×15 cm | Straight helicoid | 180 g | 31 mm | 59 mm | 49 mm Screw-in | 49 mm Screw-in |
| 24 mm F3.5 Shift | 84° (100° at max. shift) | 12-10 | Manual | 3.5–22 | 0.35 m | 36×24 cm | Rotating cam(Inner focus) | 510 g | 75 mm | 84 mm | Fixed | Built-in (neutral, Y48,O56, R60) |
| 28 mm F2 | 75° | 9–8 | Auto | 2–16 | 0.3 m | 27×18 cm | Straight helicoid | 250 g | 43 mm | 60 mm | 49 mm Screw-in | 49 mm Screw-in |
| 28 mm F2.8 | 75° | 6–6 | Auto | 2.8–22 | 0.3 m | 18×27 cm | Straight helicoid | 170 g | 32 mm | 60 mm | 49 mm Screw-in | 49 mm Screw-in |
| 28 mm F3.5 | 75° | 7–7 | Auto | 3.5–16 | 0.3 m | 18×27 cm | Straight helicoid | 180 g | 31 mm | 59 mm | 49 mm Screw-in | 49 mm Screw-in |
| 35 mm F2 | 63° | 8–7 | Auto | 2–16 | 0.3 m | 21×14 cm | Straight helicoid | 240 g | 42 mm | 60 mm | 55 mm Screw-in | 55 mm Screw-in |
| 35 mm F2.8 | 63° | 7–6 | Auto | 2.8–16 | 0.3 m | 21×14 cm | Straight helicoid | 180 g | 33 mm | 59 mm | 51 mm Slide-on | 49 mm Screw-in |
| 35 mm F2.8 Shift | 63° (83° at max. shift) | 8–7 | Manual | 2.8–22 | 0.3 m | 21×14 cm | Straigh helicoid | 310 g | 58 mm | 68 mm | 49 mm Screw-in | 49 mm Screw-in |
| 40 mm F2 | 56° | 6–6 | Auto | 2–16 | 0.3 m | 18×12 cm | Straight helicoid | 140 g | 25 mm | 60 mm | 49 mm Screw-in | 49 mm Screw-in |
| 50 mm F1.2 | 47° | 7–6 | Auto | 1.2–16 | 0.45 m | 24×16 cm | Straight helicoid | 285 g | 43 mm | 65 mm | 51 mm Slide-on | 49 mm Screw-in |
| 50 mm F1.4 | 47° | 7–6 | Auto | 1.4–16 | 0.45 m | 24×16 cm | Straight helicoid | 230 g | 36 mm [40 mm] | 60 mm | 51 mm Slide-on | 49 mm Screw-in |
| 50 mm F1.8 | 47° | 6–5 [6–4] | Auto | 1.8–16 | 0.45 m | 24×16 cm | Straight helicoid | 170 g [165 g] | 31 mm [32 mm] | 59 mm [61 mm] | 51 mm Slide-on | 49 mm Screw-in |
| 50 mm F2Macro | 47° | 9–7 | Auto | 2–16 | 0.24 m | 7.2×4.8 cm | Straight helicoid | 320 g | 55 mm | 69 mm | Not necessary | 55 mm Screw-in |
| 50 mm F3.5Macro | 47° | 5–4 | Auto | 3.5–22 | 0.23 m | 7.2×4.8 cm | Straight helicoid | 200 g | 40 mm | 60 mm | Not necessary | 49 mm Screw-in |
| 55 mm F1.2 | 43° | 7–6 | Auto | 1.2–16 | 0.45 m | 23×15 cm | Straight helicoid | 310 g | 47 mm | 65 mm | 57 mm Slide-on | 55 mm Screw-in |
| 85 mm F2 | 29° | 6–4 [5–4] | Auto | 2–16 | 0.85 m | 25×17 cm | Straight helicoid | 260 g | 46 mm | 60 mm | 49 mm Screw-in | 49 mm Screw-in |
| 90 mm F2Macro | 27° | 9–9 | Auto | 2–22 | 0.4 m | 7.2×4.8 cm | Straight helicoid | 550 g | 71 mm | 72 mm | 57 mm Slide-on | 55 mm Screw-in |
| 100 mm F2 | 24° | 7–6 | Auto | 2–22 | 0.7 m | 18×12 cm | Straight helicoid | 520 g | 72 mm | 70 mm | Built-in | 55 mm Screw-in |
| 100 mm F2.8 | 24° | 5–5 | Auto | 2.8–22 | 1m | 29×19 cm | Straight helicoid | 230 g | 48 mm | 60 mm | 49 mm Screw-in | 49 mm Screw-in |
| 135 mm F2.8 | 18° | 5–5 | Auto | 2.8–22 | 1.5 m | 32×21 cm | Straight helicoid | 360 g | 80 mm | 61 mm | Built-in | 55 mm Screw-in |
