# Ancient Egyptian Deities — Domains and Key Associations (Quick Reference)

| Deity | Type | Primary domain/role | Key associations (short) |
| --- | --- | --- | --- |
| Amun | God | Hidden power; kingship | "The Hidden One"; later fused with Ra as Amun-Ra |
| Ra | God | Sun; cosmic order | Solar barque; daily journey across sky and through night |
| Osiris | God | Underworld; afterlife; resurrection | Judge of the dead; regeneration and rebirth |
| Isis | Goddess | Magic; motherhood; healing | Protective spells; ideal mother and royal protector |
| Horus | God | Kingship; sky | Falcon god; living pharaoh identified with Horus |
| Anubis | God | Embalming; funerary rites | Jackal-headed; guides and protects the dead |
| Thoth | God | Writing; wisdom; measurement | Scribe of the gods; reckoning of time and knowledge |
| Ma'at | Goddess/Concept | Truth; balance; justice | Feather of Ma'at; moral and cosmic harmony |
| Hathor | Goddess | Love; music; joy | Also linked to motherhood and welcoming the dead |
| Sekhmet | Goddess | War; plague; fiery power | Lioness goddess; destructive but also healing when appeased |
