# List of Intel chipsets
> 9xx chipsets and 3/4 Series chipsets

| Chipset | Code Name | Part numbers | South Bridge | Release Date | Processors | Process support | Intel VT-d support [35] | FSB | Memory types | Max. memory | Parity/ECC | Graphics |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 945GC [36] | Lakeport-GC | 82945GC (MCH) | ICH7/ICH7R/ICH7-DH [37] | 2005.05 [38] | Pentium 4, Pentium D, Celeron D, Core 2 Duo, Pentium Dual-Core, Atom | Support for 45 nm (rev.A2) | No | 533/800 MT/s | DDR2 400/533/667 | 2 GB (some boards supports 4 GB shrunk to 3.27 GB) [*] | No/No | 1 PCI Express ×16 Integrated GMA 950 graphics |
| 945GZ | Lakeport-GZ | 82945GZ (GMCH) | ICH7 | 2005.06 | Pentium 4, Pentium D, Celeron D, Core 2 Duo, Pentium Dual-Core | Support for 65 nm | No | 533/800 MT/s | DDR2 400/533 | 4 GB (shrunk to 3.27 GB due to chipset limitation [39] | No/No | some motherboards have PCIe ×16 @×4 from ICH7 [40] Integrated GMA 950 |
| 946PL | Lakeport-PL | 82946PL (MCH) | ICH7/ICH7R | 2006.07 | Pentium 4, Pentium D, Celeron D, Core 2 Duo, Pentium Dual-Core | Support for 65 nm | No | 533/800 MT/s | DDR2 533/667 | 4 GB | No/No | PCI Express ×16 |
| 946GZ | Lakeport-GZ | 82946GZ (GMCH) | ICH7/ICH7R | 2006.07 | Pentium 4, Pentium D, Celeron D, Core 2 Duo, Pentium Dual-Core | Support for 65 nm | No | 533/800 MT/s | DDR2 533/667 | 4 GB | No/No | PCI Express ×16 Integrated GMA 3000 |
| 975X | Glenwood | 82975X (MCH) [41] | ICH7/ICH7R/ICH7-DH | 2005.11 | Pentium D, Core 2 Quad, Core 2 Duo, Pentium Dual-Core | Support for 65 nm 45 nm unofficial 2 | No | 533/667/800/1066 MT/s | DDR2 533/667/800 3 | 8 GB | Yes/Yes | 1 PCI Express 16 1 × 1 PCI Express ×8 |
| P965 | Broadwater(P) | 82P965 (MCH) | ICH8/ICH8R/ICH8-DH | 2006.06 | Pentium Dual-Core/Core 2 Quad/Core 2 Duo | Support for 65 nm | No | 533/800/1066 MT/s | DDR2 533/667/800 | 8 GB | No/No | PCI Express ×16 PCI Express ×4 |
| G965 | Broadwater(GC) | 82G965 (GMCH) | ICH8/ICH8R/ICH8-DH | 2006.06 | Pentium Dual-Core/Core 2 Duo | Support for 65 nm | No | 533/800/1066 MT/s | DDR2 533/667/800 | 8 GB | No/No | PCI Express ×16 Integrated GMA X3000 graphics |
| Q965 | Broadwater(G) | 82Q965 (GMCH) | ICH8/ICH8R/ICH8-DH | 2006.06 | Pentium Dual-Core/Core 2 Duo | Support for 65 nm | No | 533/800/1066 MT/s | DDR2 533/667/800 | 8 GB | No/No | PCI Express ×16 Integrated GMA 3000 graphics Supports ADD2 Card |
| P31 | Bearlake (P) | 82P31 (MCH) | ICH7 | 2007.08 | Pentium Dual-Core/Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR2 667/800 | 4 GB | No/No | 1 PCI Express ×16 1.1 |
| P35 | Bearlake (P+) | 82P35 (MCH) | ICH9/ICH9R/ICH9-DH | 2007.06 | Pentium Dual-Core/Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR2 or DDR3 667/800/1066 | 8 GB | No/No | 1 PCI Express ×16 1.1 1 PCI Express ×4 1.1 |
| G31 | Bearlake (G) | 82G31 (GMCH) | ICH7 | 2007.08 | Core 2 Quad/Core 2 Duo/Pentium Dual-Core | Support for 45 nm | No | 800/1066/1333 MT/s | DDR2 667/800 | 4 GB | No/No | 1 PCI Express ×16 1.1 Integrated GMA 3100 graphics |
| G33 [42] | Bearlake (G+) | 82G33 (GMCH) | ICH9/ICH9R/ICH9-DH | 2007.06 | Pentium Dual-Core/Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR2 667/800 DDR3 800/1066 | 8 GB 4 GB | No/No | 1 PCI Express ×16 1.1 Integrated GMA 3100 with: Intel Clear Video Technology |
| G35 [43] | Bearlake [44] | 82G35 (GMCH) | ICH9/ICH9R/ICH9-DH | 2007.08 | Pentium Dual-Core/Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR2 667/800 [45] [46] | 8 GB | No/No | 1 PCI Express ×16 1.1 Integrated GMA X3500 with: DX10 Intel Clear Video Technology |
| Q33 | Bearlake (QF) | 82Q33 (GMCH) | ICH9/ICH9R | 2007.06 | Pentium Dual-Core/Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR2 667/800 | 8 GB | No/No | 1 PCI Express ×16 1.1 Integrated GMA 3100 |
| Q35 | Bearlake (Q) | 82Q35 (GMCH) | ICH9/ICH9R/ICH9-DO | 2007.06 | Pentium Dual-Core/Core 2 Quad/Core 2 Duo | Support for 45 nm | Yes 4 | 800/1066/1333 MT/s | DDR2 667/800 | 8 GB | No/No | 1 PCI Express ×16 1.1 Integrated GMA 3100 |
| X38 | Bearlake (X) | 82X38 (MCH) | ICH9/ICH9R/ICH9-DH | 2007.09 [47] | Core 2 Quad/Core 2 Duo/Core 2 Extreme | Support for 45 nm | Yes 4 | 800/1066/1333 MT/s [48] | DDR3 800/1066/1333 DDR2 667/800/1066 | 8 GB 16 GB | No/DDR2 only | 2 PCI Express ×16 2.0 |
| X48 | Bearlake (X) | 82X48 (MCH) | ICH9/ICH9R/ICH9-DH | 2008.03 | Core 2 Quad/Core 2 Duo/Core 2 Extreme | Support for 45 nm | Yes 4 | 800/1066/1333/1600 MT/s | DDR3 1066/1333/1600 DDR2 533/667/800/1066 | 8 GB 16 GB | No/DDR2 only | 2 PCI Express ×16 2.0 |
| P43 | Eaglelake (P) | 82P43 (MCH) | ICH10/ICH10R | 2008.06 | Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR3 800/1066 DDR2 667/800 | 8 GB 16 GB | No/No | 1 PCI Express ×16 2.0 |
| P45 | Eaglelake (P+) | 82P45 (MCH) | ICH10/ICH10R | 2008.06 | Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR3 800/1066/1333 DDR2 667/800/1066 | 8 GB 16 GB | No/No | 1 PCI Express ×16 2.0 2 PCI Express ×8 2.0 |
| G41 | Eaglelake (G) | 82G41 (GMCH) | ICH7 | 2008.09 | Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR3 800/1066 DDR2 667/800 | 4 GB 8 GB | No/No | 1 PCI Express ×16 1.1 Integrated GMA X4500 graphics |
| G43 | Eaglelake (G) | 82G43 (GMCH) | ICH10/ICH10R | 2008.06 | Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR3 800/1066 DDR2 667/800 | 8 GB 16 GB | No/No | 1 PCI Express ×16 2.0 Integrated GMA X4500 graphics |
| G45 | Eaglelake (G+) | 82G45 (GMCH) | ICH10/ICH10R | 2008.06 | Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR3 800/1066 DDR2 667/800 [49] | 8 GB 16 GB | No/No | 1 PCI Express ×16 2.0 Integrated GMA X4500 HD graphics |
| B43 | Eaglelake (B) | 82B43 (GMCH) | ICH10D | 2008.12 | Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR3 800/1066 DDR2 667/800 | 16 GB | No/No | 1 PCI Express ×16 2.0 Integrated GMA X4500 graphics |
| Q43 | Eaglelake (Q) | 82Q43 (GMCH) | ICH10/ICH10R/ICH10D | 2008.08 | Core 2 Quad/Core 2 Duo | Support for 45 nm | No | 800/1066/1333 MT/s | DDR3 800/1066 DDR2 667/800 [50] | 8 GB 16 GB | No/No | 1 PCI Express ×16 2.0 Integrated GMA X4500 graphics |
| Q45 | Eaglelake (Q) | 82Q45 (GMCH) | ICH10/ICH10R/ICH10-DO | 2008.08 | Core 2 Quad/Core 2 Duo | Support for 45 nm | Yes 4 | 800/1066/1333 MT/s | DDR3 800/1066 DDR2 667/800 [51] | 8 GB 16 GB | No/No | 1 PCI Express ×16 2.0 Integrated GMA X4500 [51] graphics |
