# Ricky Watters
> Professional career

| Year | Team | Games | Receptions | Yards | Yards per Reception | Longest Reception | Touchdown | First Downs | Fumbles | Fumbles Lost |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1992 | SF | 14 | 43 | 405 | 9.4 | 35 | 2 | 21 | 0 | 0 |
| 1993 | SF | 13 | 31 | 326 | 10.5 | 48 | 1 | 12 | 0 | 0 |
| 1994 | SF | 16 | 66 | 719 | 10.9 | 65 | 5 | 27 | 0 | 0 |
| 1995 | PHI | 16 | 62 | 434 | 7.0 | 24 | 1 | 19 | 2 | 2 |
| 1996 | PHI | 16 | 51 | 444 | 8.7 | 36 | 0 | 19 | 0 | 0 |
| 1997 | PHI | 16 | 48 | 440 | 9.2 | 37 | 0 | 20 | 0 | 0 |
| 1998 | SEA | 16 | 52 | 373 | 7.2 | 24 | 0 | 15 | 0 | 0 |
| 1999 | SEA | 16 | 40 | 387 | 9.7 | 25 | 2 | 17 | 1 | 1 |
| 2000 | SEA | 16 | 63 | 613 | 9.7 | 59 | 2 | 28 | 0 | 0 |
| 2001 | SEA | 5 | 11 | 107 | 9.7 | 34 | 0 | 4 | 0 | 0 |
| Career |  | 144 | 467 | 4,248 | 9.1 | 65 | 13 | 182 | 3 | 3 |
