# Alkaline Bottled Waters  Claimed pH Ranges by Brand (Ranges Only)

| Brand | Source Type | Claimed pH Range | Claim Source | Positioning |
|---|---|---|---|---|
| Essentia | Purified + ionization | 9.0–9.5 | website/label | "ionized alkaline" |
| Core Hydration | Purified + minerals | 7.2–7.6 | brand FAQ | "perfectly balanced" |
| Eternal | Spring | 7.2–7.8 | label | "naturally alkaline" |
| Evamor | Artesian | 7.5–8.5 | marketing | "artesian alkaline" |
| Flow | Artesian | 8.0–8.2 | packaging | "naturally alkaline" |
| Icelandic Glacial | Spring | 8.2–8.4 | label | "natural spring" |
| LIFEWTR | Purified | 6.8–7.6 | marketing | "pH balanced" |
| FIJI | Artesian aquifer | 7.4–7.8 | promotional material | "soft, smooth taste" |
| VOSS | Artesian | 5.8–6.8 | published spec | "low mineral content" |
