# Spine MRI Ordering Guide  CPT Codes With Common ICD-10 Indications and Prior Authorization Notes

| Spine MRI Exam | CPT Code | Common ICD-10 Examples | Prior Authorization / Coverage Notes |
| --- | --- | --- | --- |
| Cervical spine MRI without contrast | 72141 | M54.2, M50.20 | Often requires failed conservative therapy 4-6 weeks |
| Cervical spine MRI with contrast | 72142 | C79.51, G95.9 | Contrast typically covered for suspected tumor/infection |
| Cervical spine MRI w/wo contrast | 72156 | C72.0, G37.3 | PA commonly required; documentation of neurologic deficit |
| Thoracic spine MRI without contrast | 72146 | M54.6, M51.24 | May require X-ray first per plan policy |
| Thoracic spine MRI w/wo contrast | 72157 | C79.51, G06.1 | Often needs clinical suspicion of malignancy/abscess |
| Lumbar spine MRI without contrast | 72148 | M54.16, M51.26 | Many plans require red flags or 6 weeks PT |
| Lumbar spine MRI with contrast | 72149 | C79.51, M46.26 | Contrast may be limited to post-op/infection concerns |
| Lumbar spine MRI w/wo contrast | 72158 | G83.4, C79.51 | PA + recent neuro exam often requested |
| Sacrum/coccyx MRI without contrast | 72195 | M53.3, M86.9 | Coverage may depend on suspected osteomyelitis |
| Whole spine screening MRI | 72100 (example) | Z13.89 | Typically not covered unless high-risk indication |
