# WYPX (Example) — Distributor Lineup Channel Numbers (SD HD)

| Distributor (TV Provider) | City / Area Example | SD Channel Position | HD Channel Position | Notes |
| --- | --- | --- | --- | --- |
| Comcast Xfinity | Burlington, VT | 4 | 704 | Regional lineup example |
| Time Warner Cable (legacy) | Albany, NY | 20 | 1218 | Legacy TWC systems may vary |
| Spectrum (Charter) | Albany, NY | 20 | 1218 | Post-merger branding |
| Verizon FiOS | Boston, MA | 20 | 520 | SD/HD split shown |
| DirecTV | Nationwide | 55 | 55 | Same number on most receivers |
| Dish Network | Nationwide | 50 | 50 | Same number on most receivers |
| Mid-Hudson Cablevision | Hudson Valley, NY | N/A | N/A | Not carried in this system |
| Armstrong Cable | Western PA/OH | 9 | 609 | Example placement |
| RCN (Astound) | Chicago, IL | 4 | 1004 | Some markets use 804 instead |
| Breezeline | Columbus, OH | 19 | 619 | Channel positions may differ by ZIP |
