# List of battles since 2001
> 21 st century

| Battle | Date | Description |
| --- | --- | --- |
| Battle of Tetovo | 16 March - 13 August | Between Macedonia and National Liberation Army |
| Battle for Vedeno | 13 August - ? | Between Russian and Chechen forces for the area around Vedeno . |
| Battle of Mazar-e-Sharif | 9 November | United States and Northern Alliance forces defeat Taliban forces in the city as part of the U.S. Invasion of Afghanistan . |
| Battle of Herat | 12 November | Special Operations Forces of the United States and the Islamic Republic of Iran assist the Afghan Northern Alliance in seizing Herat from the Taliban amidst a coordinated insurrection and local uprising. |
| Battle of Kabul | 13–14 November | Northern Alliance and US forces attack Kabul and capture it from the Taliban. |
| Battle of Tarin Kowt | 13–14 November | Hamid Karzai 's Eastern Alliance together with US forces defend the town of Tarin Kowt from the Taliban. |
| Battle of Kandahar | 22 November – 7 December | A force of local militia under Pashtun military commanders and their American advisers capture the last major city under Taliban control. |
| Battle of Qala-i-Jangi | 25 November – 1 December | Northern Alliance fighters, assisted by British and American Special Forces, quell an uprising of foreign Taliban prisoners. |
| Battle of Tora Bora | 12–17 December | Coalition and Northern Alliance forces besiege Al-Qaida forces. Presumably, Osama bin Laden was present, but escaped. |
| Battle of Amami-Ōshima | 22 December | A naval confrontation between Japan and North Korea |
