# Aneuploidy
> Types

| # | monosomy | trisomy |
| --- | --- | --- |
| 1 | 1p36 deletion syndrome 1q21.1 deletion syndrome | Trisomy 1 |
| 2 | 2q37 deletion syndrome | Trisomy 2 |
| 3 |  | Trisomy 3 |
| 4 | Wolf-Hirschhorn syndrome | Trisomy 4 |
| 5 | Cri du chat 5q deletion syndrome | Trisomy 5 |
| 6 |  | Trisomy 6 |
| 7 | Williams syndrome | Trisomy 7 |
| 8 | Monosomy 8p Monosomy 8q | Trisomy 8 |
| 9 | Alfi's syndrome Kleefstra syndrome | Trisomy 9 |
| 10 | Monosomy 10p Monosomy 10q | Trisomy 10 |
| 11 | Jacobsen syndrome | Trisomy 11 |
| 12 |  | Trisomy 12 |
| 13 |  | Patau syndrome |
| 14 |  | Trisomy 14 |
| 15 | Angelman syndrome Prader–Willi syndrome | Trisomy 15 |
| 16 |  | Trisomy 16 |
| 17 | Miller-Dieker syndrome Smith-Magenis syndrome | Trisomy 17 |
| 18 | Distal 18q- Proximal 18q- | Edwards syndrome |
| 19 |  | Trisomy 19 |
| 20 |  | Trisomy 20 |
| 21 |  | Down syndrome |
| 22 | DiGeorge syndrome Phelan-McDermid syndrome 22q11.2 distal deletion syndrome | Cat eye syndrome Trisomy 22 |
