# Undergraduate Tuition & Fees (Resident Only) — Lakeshore Community College

| Academic Year | Category | Resident (In-state) Amount |
|---|---|---:|
| 2023-2024 | Tuition (full-time) | $4,120 |
| 2023-2024 | Mandatory fees | $620 |
| 2023-2024 | Tuition & fees total | $4,740 |
| 2024-2025 | Tuition (full-time) | $4,260 |
| 2024-2025 | Mandatory fees | $640 |
| 2024-2025 | Tuition & fees total | $4,900 |
| 2025-2026 | Tuition (full-time) | $4,410 |
| 2025-2026 | Mandatory fees | $660 |
| 2025-2026 | Tuition & fees total | $5,070 |
