# UFC Men's Champions by Division (Current Reign Snapshot)

| Division | Current Champion | Reign Start (Date Won) | Method / Notes |
|---|---|---|---|
| Flyweight | Demetrious Johnson | 2012-09-22 | Won at UFC 152 (title fight) |
| Bantamweight | Dominick Cruz | 2016-01-17 | Won at UFC Fight Night: Dillashaw vs. Cruz |
| Featherweight | Conor McGregor | 2015-12-12 | Won at UFC 194 |
| Lightweight | Rafael dos Anjos | 2015-03-14 | Won at UFC 185 |
| Welterweight | Robbie Lawler | 2014-12-06 | Won at UFC 181 |
| Middleweight | Michael Bisping | 2016-06-04 | Won at UFC 199 |
| Light Heavyweight | Daniel Cormier | 2015-05-23 | Promoted to undisputed (former champion stripped) |
| Heavyweight | Cain Velasquez | 2012-12-29 | Won at UFC 155 |
| Superfight / Special | — | — | (No active men's division belt) |
