# Miami Dolphins 2016 Salary Cap Summary (Team Totals by Category)

| Category | Amount (USD) | Notes |
|---|---:|---|
| Total Salary Cap (League) | $155,270,000 | 2016 NFL cap |
| Team Cap Space | $6,750,000 | Estimated remaining |
| Active Roster Cap | $136,400,000 | Team-level total |
| Dead Money | $12,120,000 | Released/retained charges |
| Injured Reserve Cap | $2,300,000 | Team-level total |
| Practice Squad Cap | $960,000 | Team-level total |
| Top 51 Rule Total | $129,800,000 | Offseason accounting |
| Carryover From 2015 | $3,100,000 | Cap carryover |
| Bonuses (Total) | $28,600,000 | Signing/roster/workout |
| Cash Spending (Est.) | $145,000,000 | Approximate cash outlay |
