# Selected Inorganic Ligands (including common ambidentate oxo species)  Formula and Ligand Charge

| Ligand | Formula / common abbreviation | Charge |
| --- | --- | --- |
| Ammine | NH3 | 0 |
| Hydrazine | N2H4 | 0 |
| Hydroperoxido | OOH− (HO2−) | −1 |
| Peroxido | O2^2− | −2 |
| Superoxido | O2− | −1 |
| Azido | N3− | −1 |
| Nitrido | N3− (as N^3−) | −3 |
| Nitrito (O-bound) | ONO− | −1 |
| Nitrito (N-bound, nitro) | NO2− | −1 |
| Oxalato | C2O4^2− (ox2−) | −2 |
| Carbonato | CO3^2− | −2 |
| Sulfido | S2− | −2 |
