# The 100 (TV Series 2014– ) — Main Characters and Episode Counts (IMDb-style)

| Character | Appears In (Episodes) | Seasons Active | Notes |
|---|---:|---|---|
| Clarke Griffin | 45 | 1–3 | Lead character |
| Bellamy Blake | 46 | 1–4 | Core ensemble |
| Octavia Blake | 45 | 1–3 | Core ensemble |
| Raven Reyes | 44 | 1–4 | Tech specialist |
| Dr. Abigail Griffin | 45 | 1–3 | Medical lead |
| Marcus Kane | 40 | 1–4 | Political leader |
| John Murphy | 38 | 1–4 | Recurring/ensemble |
| Monty Green | 37 | 1–4 | Ensemble |
| Jasper Jordan | 35 | 1–4 | Ensemble |
