# 1997 NBA draft
> Notable undrafted players

| Player | Pos. | Nationality | School/Club team |
| --- | --- | --- | --- |
| Garnett, Marlon Marlon Garnett | G | Belize United States | Santa Clara ( Sr. ) |
| Hamill, Scott Scott Hamill | G | United States | Massachusetts ( So. ) |
| Hudson, Troy Troy Hudson | G | United States | Southern Illinois ( Jr. ) |
| Jones, Damon Damon Jones | G | United States | Houston ( Jr. ) |
| Moore, Mikki Mikki Moore | F/C | United States | Nebraska ( Sr. ) |
| Newble, Ira Ira Newble | F | United States | Miami (Ohio) ( Sr. ) |
| Penberthy, Mike Mike Penberthy | G | United States | The Master's ( Sr. ) |
| Stewart, Michael Michael Stewart | F/C | France | California ( Sr. ) |
| Burke, Pat Pat Burke | C | Ireland | Auburn ( Sr. ) |
